log10_A,A,sigma_pooled,mean_n,per_event_sigma,null_mean,null_std,delta_from_5314
-3.989694,1.024014e-04,0.277287,7.768737,0.26705,0.277287,0.0,2.454737
-3.983016,1.039881e-04,0.277287,7.757646,0.26705,0.277287,0.0,2.443646
-3.976339,1.055994e-04,0.277287,7.746554,0.26705,0.277287,0.0,2.432554
-3.969661,1.072357e-04,0.277287,7.735463,0.26705,0.277287,0.0,2.421463
-3.962983,1.088973e-04,0.277287,7.724371,0.26705,0.277287,0.0,2.410371
-3.956305,1.105846e-04,0.277287,7.713279,0.26705,0.277287,0.0,2.399279
-3.949627,1.122981e-04,0.277287,7.702188,0.26705,0.277287,0.0,2.388188
-3.94295,1.140382e-04,0.277287,7.691096,0.26705,0.277287,0.0,2.377096
-3.936272,1.158052e-04,0.277287,7.680005,0.26705,0.277287,0.0,2.366005
-3.929594,1.175996e-04,0.277287,7.668913,0.26705,0.277287,0.0,2.354913
-3.922916,1.194218e-04,0.277287,7.657822,0.26705,0.277287,0.0,2.343822
-3.916238,1.212723e-04,0.277287,7.64673,0.26705,0.277287,0.0,2.33273
-3.909561,1.231514e-04,0.277287,7.635638,0.26705,0.277287,0.0,2.321638
-3.902883,1.250596e-04,0.277287,7.624547,0.26705,0.277287,0.0,2.310547
-3.896205,1.269974e-04,0.277287,7.613455,0.26705,0.277287,0.0,2.299455
-3.889527,1.289653e-04,0.277287,7.602364,0.26705,0.277287,0.0,2.288364
-3.882849,1.309636e-04,0.277287,7.591272,0.26705,0.277287,0.0,2.277272
-3.876172,1.329929e-04,0.277287,7.58018,0.26705,0.277287,0.0,2.26618
-3.869494,1.350536e-04,0.277287,7.569089,0.26705,0.277287,0.0,2.255089
-3.862816,1.371462e-04,0.277287,7.557997,0.26705,0.277287,0.0,2.243997
-3.856138,1.392713e-04,0.277287,7.546906,0.26705,0.277287,0.0,2.232906
-3.84946,1.414293e-04,0.277287,7.535814,0.26705,0.277287,0.0,2.221814
-3.842783,1.436208e-04,0.277287,7.524723,0.26705,0.277287,0.0,2.210723
-3.836105,1.458462e-04,0.277287,7.513631,0.26705,0.277287,0.0,2.199631
-3.829427,1.481061e-04,0.277287,7.502539,0.26705,0.277287,0.0,2.188539
-3.822749,1.504010e-04,0.277287,7.491448,0.26705,0.277287,0.0,2.177448
-3.816071,1.527315e-04,0.277287,7.480356,0.26705,0.277287,0.0,2.166356
-3.809394,1.550980e-04,0.277287,7.469265,0.26705,0.277287,0.0,2.155265
-3.802716,1.575013e-04,0.277287,7.458173,0.26705,0.277287,0.0,2.144173
-3.796038,1.599418e-04,0.277287,7.447082,0.26705,0.277287,0.0,2.133082
-3.78936,1.624201e-04,0.277287,7.43599,0.26705,0.277287,0.0,2.12199
-3.782683,1.649368e-04,0.277287,7.424898,0.26705,0.277287,0.0,2.110898
-3.776005,1.674925e-04,0.277287,7.413807,0.26705,0.277287,0.0,2.099807
-3.769327,1.700878e-04,0.277287,7.402715,0.26705,0.277287,0.0,2.088715
-3.762649,1.727233e-04,0.277287,7.391624,0.26705,0.277287,0.0,2.077624
-3.755971,1.753996e-04,0.277287,7.380532,0.26705,0.277287,0.0,2.066532
-3.749294,1.781175e-04,0.277287,7.36944,0.26705,0.277287,0.0,2.05544
-3.742616,1.808774e-04,0.277287,7.358349,0.26705,0.277287,0.0,2.044349
-3.735938,1.836801e-04,0.277287,7.347257,0.26705,0.277287,0.0,2.033257
-3.72926,1.865262e-04,0.277287,7.336166,0.26705,0.277287,0.0,2.022166
-3.722582,1.894164e-04,0.277287,7.325074,0.26705,0.277287,0.0,2.011074
-3.715905,1.923514e-04,0.277287,7.313983,0.26705,0.277287,0.0,1.999983
-3.709227,1.953319e-04,0.277287,7.302891,0.26705,0.277287,0.0,1.988891
-3.702549,1.983586e-04,0.277287,7.291799,0.26705,0.277287,0.0,1.977799
-3.695871,2.014322e-04,0.277287,7.280708,0.26705,0.277287,0.0,1.966708
-3.689193,2.045534e-04,0.277287,7.269616,0.26705,0.277287,0.0,1.955616
-3.682516,2.077229e-04,0.277287,7.258525,0.26705,0.277287,0.0,1.944525
-3.675838,2.109416e-04,0.277287,7.247433,0.26705,0.277287,0.0,1.933433
-3.66916,2.142101e-04,0.277287,7.236342,0.26705,0.277287,0.0,1.922342
-3.662482,2.175293e-04,0.277287,7.22525,0.26705,0.277287,0.0,1.91125
-3.655804,2.209000e-04,0.277287,7.214158,0.26705,0.277287,0.0,1.900158
-3.649127,2.243228e-04,0.277287,7.203067,0.26705,0.277287,0.0,1.889067
-3.642449,2.277987e-04,0.277287,7.191975,0.26705,0.277287,0.0,1.877975
-3.635771,2.313284e-04,0.277287,7.180884,0.26705,0.277287,0.0,1.866884
-3.629093,2.349129e-04,0.277287,7.169792,0.26705,0.277287,0.0,1.855792
-3.622415,2.385528e-04,0.277287,7.1587,0.26705,0.277287,0.0,1.8447
-3.615738,2.422492e-04,0.277287,7.147609,0.26705,0.277287,0.0,1.833609
-3.60906,2.460029e-04,0.277287,7.136517,0.26705,0.277287,0.0,1.822517
-3.602382,2.498147e-04,0.277287,7.125426,0.26705,0.277287,0.0,1.811426
-3.595704,2.536856e-04,0.277287,7.114334,0.26705,0.277287,0.0,1.800334
-3.589026,2.576164e-04,0.277287,7.103243,0.26705,0.277287,0.0,1.789243
-3.582349,2.616082e-04,0.277287,7.092151,0.26705,0.277287,0.0,1.778151
-3.575671,2.656618e-04,0.277287,7.081059,0.26705,0.277287,0.0,1.767059
-3.568993,2.697783e-04,0.277287,7.069968,0.26705,0.277287,0.0,1.755968
-3.562315,2.739585e-04,0.277287,7.058876,0.26705,0.277287,0.0,1.744876
-3.555637,2.782035e-04,0.277287,7.047785,0.26705,0.277287,0.0,1.733785
-3.54896,2.825143e-04,0.277287,7.036693,0.26705,0.277287,0.0,1.722693
-3.542282,2.868918e-04,0.277287,7.025601,0.26705,0.277287,0.0,1.711601
-3.535604,2.913372e-04,0.277287,7.01451,0.26705,0.277287,0.0,1.70051
-3.528926,2.958515e-04,0.277287,7.003418,0.26705,0.277287,0.0,1.689418
-3.522248,3.004357e-04,0.277287,6.992327,0.26705,0.277287,0.0,1.678327
-3.515571,3.050910e-04,0.277287,6.981235,0.26705,0.277287,0.0,1.667235
-3.508893,3.098184e-04,0.277287,6.970144,0.26705,0.277287,0.0,1.656144
-3.502215,3.146190e-04,0.277287,6.959052,0.26705,0.277287,0.0,1.645052
-3.495537,3.194940e-04,0.277287,6.94796,0.26705,0.277287,0.0,1.63396
-3.488859,3.244446e-04,0.277287,6.936869,0.26705,0.277287,0.0,1.622869
-3.482182,3.294719e-04,0.277287,6.925777,0.26705,0.277287,0.0,1.611777
-3.475504,3.345770e-04,0.277287,6.914686,0.26705,0.277287,0.0,1.600686
-3.468826,3.397613e-04,0.277287,6.903594,0.26705,0.277287,0.0,1.589594
-3.462148,3.450259e-04,0.277287,6.892503,0.26705,0.277287,0.0,1.578503
-3.45547,3.503721e-04,0.277287,6.881411,0.26705,0.277287,0.0,1.567411
-3.448793,3.558011e-04,0.277287,6.870319,0.26705,0.277287,0.0,1.556319
-3.442115,3.613143e-04,0.277287,6.859228,0.26705,0.277287,0.0,1.545228
-3.435437,3.669128e-04,0.277287,6.848136,0.26705,0.277287,0.0,1.534136
-3.428759,3.725982e-04,0.277287,6.837045,0.26705,0.277287,0.0,1.523045
