event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,posterior,56.1627,-0.0297,0.6917,0.346,5.332474,0.081487,137.443473,137.475215,136.383065,-1.060408,132.111,132.142741,131.050592,-4.924999,-4.893258,-5.985407,5.811541,137.035999,5.313987
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,posterior,68.0116,0.1923,0.7347,0.7664,5.345283,0.262675,137.719641,137.496091,136.552256,-1.167385,132.374358,132.150808,131.206973,-4.661641,-4.885191,-5.829026,6.087709,137.035999,5.313987
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,posterior,65.7998,0.2725,0.772,0.9388,5.402735,0.222557,137.671944,137.344077,136.402833,-1.26911,132.269209,131.941342,131.000099,-4.76679,-5.094657,-6.035901,6.040012,137.035999,5.313987
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,posterior,11.7631,-0.076,0.416,0.1468,4.661922,0.21511,135.18813,135.268033,134.652107,-0.536023,130.526208,130.606111,129.990185,-6.509791,-6.429888,-7.045814,3.556198,137.035999,5.313987
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,posterior,11.7119,-0.0745,0.4166,0.1514,4.660212,0.212879,135.181836,135.260256,134.644949,-0.536887,130.521624,130.600044,129.984737,-6.514375,-6.435955,-7.051262,3.549904,137.035999,5.313987
GW190924_021846,GWTC-2.1,C01:IMRPhenomXPHM,posterior,14.2941,0.0457,0.664,0.1132,5.242744,0.166698,135.469275,135.4191,134.472691,-0.996584,130.226531,130.176356,129.229947,-6.809468,-6.859643,-7.806052,3.837343,137.035999,5.313987
GW190924_021846,GWTC-2.1,C01:IMRPhenomXPHM,posterior,14.2604,0.0463,0.6646,0.116,5.242501,0.168668,135.465877,135.415013,134.467864,-0.998014,130.223377,130.172512,129.225363,-6.812622,-6.863487,-7.810636,3.833945,137.035999,5.313987
GW190925_232845,GWTC-2.1,C01:IMRPhenomXPHM,posterior,36.8282,0.0811,0.7065,0.1819,5.364077,0.09103,136.834669,136.744425,135.738555,-1.096114,131.470593,131.380348,130.374479,-5.565406,-5.655651,-6.66152,5.202737,137.035999,5.313987
GW190925_232845,GWTC-2.1,C01:IMRPhenomXPHM,posterior,36.6711,0.0829,0.7073,0.1871,5.364636,0.091483,136.828505,136.736203,135.73037,-1.098135,131.463869,131.371566,130.365733,-5.57213,-5.664433,-6.670266,5.196573,137.035999,5.313987
GW190926_050336,GWTC-2.1,C01:IMRPhenomXPHM,posterior,61.6623,-0.0202,0.6396,0.5509,5.204005,0.223486,137.578248,137.599953,136.635186,-0.943062,132.374243,132.395948,131.431181,-4.661756,-4.640051,-5.604818,5.946316,137.035999,5.313987
GW190926_050336,GWTC-2.1,C01:IMRPhenomXPHM,posterior,59.0562,-0.0076,0.6644,0.7189,5.261442,0.197737,137.515949,137.524153,136.518525,-0.997424,132.254507,132.262711,131.257083,-4.781492,-4.773288,-5.778916,5.884017,137.035999,5.313987
GW190929_012149,GWTC-2.1,C01:IMRPhenomXPHM,posterior,93.3076,-0.0306,0.6001,0.5306,5.095831,0.238233,138.175855,138.208524,137.314829,-0.861026,133.080024,133.112693,132.218998,-3.955976,-3.923306,-4.817001,6.543923,137.035999,5.313987
GW190929_012149,GWTC-2.1,C01:IMRPhenomXPHM,posterior,90.0049,-0.0203,0.6191,0.6189,5.144286,0.218704,138.123864,138.145646,137.224053,-0.899811,132.979578,133.00136,132.079768,-4.056421,-4.034639,-4.956231,6.491932,137.035999,5.313987
GW190930_133541,GWTC-2.1,C01:IMRPhenomXPHM,posterior,20.4197,0.1472,0.7201,0.1555,5.348322,0.171579,135.983821,135.815791,134.853821,-1.13,130.635499,130.467469,129.505499,-6.4005,-6.56853,-7.5305,4.351889,137.035999,5.313987
GW190930_133541,GWTC-2.1,C01:IMRPhenomXPHM,posterior,20.3281,0.1487,0.7207,0.1603,5.347979,0.174768,135.977339,135.807552,134.845962,-1.131376,130.629359,130.459572,129.497983,-6.40664,-6.576427,-7.538016,4.345407,137.035999,5.313987
GW191103_012549,GWTC-3,C01:IMRPhenomXPHM,posterior,20.0274,0.2157,0.748,0.1972,5.396941,0.126876,135.955836,135.702729,134.753218,-1.202619,130.558896,130.305788,129.356277,-6.477103,-6.730211,-7.679722,4.323904,137.035999,5.313987
GW191103_012549,GWTC-3,C01:IMRPhenomXPHM,posterior,19.8657,0.2175,0.7483,0.2085,5.394502,0.13019,135.944139,135.688697,134.740816,-1.203323,130.549637,130.294195,129.346314,-6.486362,-6.741804,-7.689685,4.312207,137.035999,5.313987
GW191105_143521,GWTC-3,C01:IMRPhenomXPHM,posterior,18.5278,-0.0184,0.6682,0.2262,5.314606,0.088906,135.843555,135.863315,134.837512,-1.006043,130.528949,130.548709,129.522906,-6.50705,-6.48729,-7.513093,4.211623,137.035999,5.313987
GW191105_143521,GWTC-3,C01:IMRPhenomXPHM,posterior,18.4113,-0.0176,0.6681,0.2339,5.313769,0.089879,135.834455,135.853393,134.828527,-1.005928,130.520686,130.539624,129.514758,-6.515313,-6.496375,-7.521241,4.202523,137.035999,5.313987
GW191109_010717,GWTC-3,C01:IMRPhenomXPHM,posterior,111.363,-0.3112,0.5922,0.2197,5.216586,0.13503,138.431058,138.735074,137.585722,-0.845337,133.214473,133.518488,132.369136,-3.821527,-3.517511,-4.666863,6.799126,137.035999,5.313987
GW191109_010717,GWTC-3,C01:IMRPhenomXPHM,posterior,108.7483,-0.2938,0.5973,0.2535,5.224691,0.13003,138.396781,138.685265,137.541411,-0.85537,133.17209,133.460573,132.31672,-3.863909,-3.575426,-4.719279,6.764849,137.035999,5.313987
GW191113_071753,GWTC-3,C01:IMRPhenomXPHM,posterior,35.573,0.0032,0.4205,0.2421,4.606549,0.294563,136.784642,136.781131,136.241566,-0.543076,132.178092,132.174582,131.635017,-4.857907,-4.861417,-5.400982,5.15271,137.035999,5.313987
GW191113_071753,GWTC-3,C01:IMRPhenomXPHM,posterior,34.3837,0.0101,0.4404,0.2735,4.642251,0.321573,136.735585,136.724689,136.160885,-0.5747,132.093334,132.082438,131.518634,-4.942665,-4.953561,-5.517365,5.103653,137.035999,5.313987
GW191126_115259,GWTC-3,C01:IMRPhenomXPHM,posterior,20.5602,0.21,0.7472,0.3097,5.403582,0.101746,135.993716,135.747773,134.793321,-1.200395,130.590133,130.344191,129.389739,-6.445866,-6.691808,-7.64626,4.361784,137.035999,5.313987
GW191126_115259,GWTC-3,C01:IMRPhenomXPHM,posterior,20.2869,0.2122,0.7477,0.3272,5.402898,0.104767,135.974411,135.725746,134.772648,-1.201763,130.571514,130.322848,129.369751,-6.464486,-6.713151,-7.666248,4.342479,137.035999,5.313987
GW191127_050227,GWTC-3,C01:IMRPhenomXPHM,posterior,84.7759,0.1768,0.7535,0.5701,5.137051,0.466585,138.037514,137.833284,136.819952,-1.217562,132.900463,132.696234,131.682901,-4.135536,-4.339765,-5.353098,6.405582,137.035999,5.313987
GW191127_050227,GWTC-3,C01:IMRPhenomXPHM,posterior,81.4854,0.2588,0.7833,0.7282,5.309676,0.370628,137.980402,137.671006,136.678575,-1.301827,132.670726,132.361329,131.368899,-4.365273,-4.67467,-5.6671,6.34847,137.035999,5.313987
GW191129_134029,GWTC-3,C01:IMRPhenomXPHM,posterior,17.6754,0.0648,0.6817,0.1583,5.309786,0.091197,135.775599,135.703927,134.738543,-1.037056,130.465813,130.394141,129.428757,-6.570186,-6.641859,-7.607242,4.143667,137.035999,5.313987
GW191129_134029,GWTC-3,C01:IMRPhenomXPHM,posterior,17.6118,0.0658,0.6818,0.1626,5.308807,0.091605,135.770404,135.697683,134.733179,-1.037225,130.461598,130.388877,129.424373,-6.574401,-6.647122,-7.611626,4.138472,137.035999,5.313987
GW191204_110529,GWTC-3,C01:IMRPhenomXPHM,posterior,46.9785,0.0373,0.6971,0.3355,5.339554,0.141712,137.185859,137.145088,136.112449,-1.07341,131.846305,131.805533,130.772895,-5.189694,-5.230466,-6.263105,5.553927,137.035999,5.313987
GW191204_110529,GWTC-3,C01:IMRPhenomXPHM,posterior,44.6289,0.0444,0.6996,0.4135,5.340826,0.14486,137.11184,137.063112,136.032418,-1.079421,131.771013,131.722286,130.691592,-5.264986,-5.313713,-6.344407,5.479908,137.035999,5.313987
GW191204_171526,GWTC-3,C01:IMRPhenomXPHM,posterior,20.3555,0.1592,0.7343,0.1304,5.387196,0.063196,135.979278,135.796771,134.813067,-1.166211,130.592081,130.409574,129.425871,-6.443918,-6.626425,-7.610128,4.347346,137.035999,5.313987
GW191204_171526,GWTC-3,C01:IMRPhenomXPHM,posterior,20.3128,0.1594,0.7343,0.1329,5.386828,0.063494,135.97625,135.793438,134.809833,-1.166417,130.589421,130.40661,129.423004,-6.446578,-6.629389,-7.612995,4.344318,137.035999,5.313987
GW191215_223052,GWTC-3,C01:IMRPhenomXPHM,posterior,43.2039,-0.0536,0.6756,0.3522,5.309682,0.078136,137.065022,137.121812,136.04201,-1.023012,131.75534,131.81213,130.732328,-5.28066,-5.223869,-6.303671,5.43309,137.035999,5.313987
GW191215_223052,GWTC-3,C01:IMRPhenomXPHM,posterior,42.4701,-0.0423,0.6781,0.3796,5.313574,0.078632,137.040308,137.085314,136.011694,-1.028613,131.726734,131.771741,130.698121,-5.309265,-5.264258,-6.337878,5.408376,137.035999,5.313987
GW191216_213338,GWTC-3,C01:IMRPhenomXPHM,posterior,20.0659,0.1174,0.7003,0.0725,5.324671,0.140139,135.958608,135.826242,134.877481,-1.081127,130.633938,130.501571,129.552811,-6.402061,-6.534428,-7.483188,4.326676,137.035999,5.313987
GW191216_213338,GWTC-3,C01:IMRPhenomXPHM,posterior,20.0462,0.1173,0.7005,0.0737,5.324664,0.142139,135.957186,135.824848,134.875545,-1.081641,130.632522,130.500183,129.550881,-6.403477,-6.535816,-7.485118,4.325254,137.035999,5.313987
GW191219_163120,GWTC-3,C01:IMRPhenomXPHM:HighSpin,posterior,32.7632,0.0048,0.1578,0.1098,3.272084,0.04671,136.665938,136.660773,136.485133,-0.180804,133.393854,133.388689,133.21305,-3.642145,-3.64731,-3.822949,5.034006,137.035999,5.313987
GW191219_163120,GWTC-3,C01:IMRPhenomXPHM:HighSpin,posterior,32.6999,0.005,0.1571,0.1117,3.27263,0.060261,136.663148,136.657743,136.483163,-0.179985,133.390517,133.385113,133.210532,-3.645482,-3.650886,-3.825467,5.031216,137.035999,5.313987
GW191222_033537,GWTC-3,C01:IMRPhenomXPHM,posterior,79.5141,-0.0543,0.6678,0.4857,5.320872,0.095165,137.94507,138.002593,136.939865,-1.005205,132.624198,132.681721,131.618993,-4.411801,-4.354279,-5.417006,6.313138,137.035999,5.313987
GW191222_033537,GWTC-3,C01:IMRPhenomXPHM,posterior,76.5762,-0.0399,0.6729,0.566,5.325662,0.093478,137.890757,137.933195,136.874091,-1.016666,132.565095,132.607533,131.548429,-4.470904,-4.428466,-5.487571,6.258825,137.035999,5.313987
GW191230_180458,GWTC-3,C01:IMRPhenomXPHM,posterior,85.1422,-0.0586,0.6786,0.681,5.315506,0.125084,138.043734,138.105699,137.013876,-1.029858,132.728229,132.790193,131.69837,-4.307771,-4.245806,-5.337629,6.411802,137.035999,5.313987
GW191230_180458,GWTC-3,C01:IMRPhenomXPHM,posterior,82.4549,-0.0389,0.6855,0.76,5.325133,0.111439,137.997465,138.038951,136.951517,-1.045948,132.672332,132.713818,131.626384,-4.363667,-4.322181,-5.409615,6.365533,137.035999,5.313987
GW200105_162426,GWTC-3,C01:IMRPhenomXPHM:HighSpin,posterior,10.9488,0.0007,0.4398,0.0594,4.688254,0.136692,135.084639,135.083891,134.510861,-0.573779,130.396386,130.395637,129.822607,-6.639614,-6.640362,-7.213392,3.452707,137.035999,5.313987
GW200105_162426,GWTC-3,C01:IMRPhenomXPHM,posterior,10.9488,0.0007,0.4398,0.0594,4.688254,0.136692,135.084639,135.083891,134.510861,-0.573779,130.396386,130.395637,129.822607,-6.639614,-6.640362,-7.213392,3.452707,137.035999,5.313987
GW200112_155838,GWTC-3,C01:IMRPhenomXPHM,posterior,63.355,0.044,0.6967,0.2408,5.361197,0.066228,137.617318,137.569041,136.544792,-1.072527,132.256121,132.207844,131.183594,-4.779878,-4.828155,-5.852405,5.985386,137.035999,5.313987
GW200112_155838,GWTC-3,C01:IMRPhenomXPHM,posterior,63.0319,0.0481,0.6983,0.2502,5.363361,0.065693,137.609942,137.557051,136.533563,-1.076379,132.246581,132.193691,131.170202,-4.789418,-4.842309,-5.865797,5.97801,137.035999,5.313987
GW200115_042309,GWTC-3,C01:IMRPhenomXPHM:HighSpin,posterior,7.2802,-0.1681,0.4301,0.0624,4.741163,0.210859,134.495917,134.667473,133.937719,-0.558198,129.754754,129.92631,129.196556,-7.281245,-7.109689,-7.839443,2.863985,137.035999,5.313987
GW200115_042309,GWTC-3,C01:IMRPhenomXPHM:HighSpin,posterior,7.2716,-0.1687,0.4302,0.0631,4.741659,0.211007,134.494213,134.666369,133.935784,-0.558429,129.752554,129.92471,129.194125,-7.283445,-7.111289,-7.841874,2.862281,137.035999,5.313987
GW200128_022011,GWTC-3,C01:IMRPhenomXPHM,posterior,73.7024,0.0797,0.7288,0.5396,5.382108,0.095136,137.835572,137.74695,136.683465,-1.152107,132.453463,132.364842,131.301356,-4.582536,-4.671157,-5.734643,6.20364,137.035999,5.313987
GW200128_022011,GWTC-3,C01:IMRPhenomXPHM,posterior,70.2069,0.0915,0.7322,0.6326,5.386064,0.091115,137.765472,137.663289,136.604552,-1.16092,132.379408,132.277225,131.218488,-4.656591,-4.758774,-5.817511,6.13354,137.035999,5.313987
GW200129_065458,GWTC-3,C01:IMRPhenomXPHM,posterior,63.3266,0.1075,0.7458,0.1898,5.38485,0.107395,137.616672,137.495869,136.420064,-1.196608,132.231822,132.111019,131.035214,-4.804178,-4.92498,-6.000785,5.98474,137.035999,5.313987
GW200129_065458,GWTC-3,C01:IMRPhenomXPHM,posterior,63.2127,0.1096,0.7475,0.1936,5.384822,0.105607,137.614074,137.490872,136.412812,-1.201262,132.229252,132.10605,131.02799,-4.806747,-4.929949,-6.008009,5.982142,137.035999,5.313987
GW200202_154313,GWTC-3,C01:IMRPhenomXPHM,posterior,17.5954,0.0361,0.6874,0.0883,5.346293,0.086929,135.769058,135.729581,134.718582,-1.050476,130.422766,130.383289,129.37229,-6.613233,-6.652711,-7.66371,4.137126,137.035999,5.313987
GW200202_154313,GWTC-3,C01:IMRPhenomXPHM,posterior,17.5719,0.0363,0.6876,0.0896,5.345984,0.087289,135.767133,135.727469,134.716386,-1.050747,130.421149,130.381485,129.370402,-6.61485,-6.654514,-7.665597,4.135201,137.035999,5.313987
GW200208_130117,GWTC-3,C01:IMRPhenomXPHM,posterior,65.1014,-0.0854,0.6539,0.3938,5.293632,0.107727,137.656548,137.746064,136.68235,-0.974198,132.362916,132.452432,131.388718,-4.673083,-4.583567,-5.647281,6.024616,137.035999,5.313987
GW200208_130117,GWTC-3,C01:IMRPhenomXPHM,posterior,64.6282,-0.0647,0.6613,0.4205,5.30507,0.103588,137.646025,137.714287,136.655492,-0.990533,132.340954,132.409217,131.350422,-4.695045,-4.626782,-5.685577,6.014093,137.035999,5.313987
GW200208_222617,GWTC-3,C01:IMRPhenomXPHM,posterior,90.7246,0.6237,0.9135,0.6897,4.89223,0.428204,138.135354,137.226089,136.340901,-1.794453,133.243124,132.333859,131.448671,-3.792875,-4.70214,-5.587328,6.503422,137.035999,5.313987
GW200208_222617,GWTC-3,C01:IMRPhenomXPHM,posterior,87.7227,0.6669,0.9277,0.8824,5.045551,0.392439,138.086809,137.083636,136.216161,-1.870649,133.041258,132.038085,131.170609,-3.994741,-4.997915,-5.86539,6.454878,137.035999,5.313987
GW200209_085452,GWTC-3,C01:IMRPhenomXPHM,posterior,61.831,-0.1248,0.6614,0.5695,5.294557,0.101643,137.58219,137.711333,136.591459,-0.990731,132.287633,132.416777,131.296902,-4.748366,-4.619222,-5.739097,5.950258,137.035999,5.313987
GW200209_085452,GWTC-3,C01:IMRPhenomXPHM,posterior,60.3288,-0.1066,0.6679,0.6412,5.30374,0.093251,137.546707,137.657634,136.541292,-1.005414,132.242967,132.353894,131.237552,-4.793032,-4.682105,-5.798447,5.914775,137.035999,5.313987
GW200210_092254,GWTC-3,C01:IMRPhenomXPHM,posterior,27.4557,0.0346,0.3646,0.1873,4.223891,0.146266,136.410968,136.373123,135.953174,-0.457794,132.187077,132.149231,131.729283,-4.848922,-4.886768,-5.306716,4.779036,137.035999,5.313987
GW200210_092254,GWTC-3,C01:IMRPhenomXPHM,posterior,27.1921,0.0311,0.3602,0.1936,4.227816,0.150171,136.397047,136.363106,135.945762,-0.451285,132.169231,132.13529,131.717946,-4.866769,-4.900709,-5.318053,4.765115,137.035999,5.313987
GW200216_220804,GWTC-3,C01:IMRPhenomXPHM,posterior,80.9417,0.0805,0.6985,0.6303,5.299956,0.280145,137.970743,137.881193,136.894006,-1.076738,132.670787,132.581237,131.594049,-4.365212,-4.454762,-5.44195,6.338811,137.035999,5.313987
GW200216_220804,GWTC-3,C01:IMRPhenomXPHM,posterior,78.8524,0.1255,0.7234,0.7612,5.348559,0.22306,137.933014,137.791051,136.794645,-1.138369,132.584455,132.442492,131.446086,-4.451544,-4.593507,-5.589913,6.301083,137.035999,5.313987
GW200219_094415,GWTC-3,C01:IMRPhenomXPHM,posterior,64.9328,-0.0968,0.6566,0.559,5.297178,0.106748,137.652808,137.753929,136.672604,-0.980205,132.35563,132.456751,131.375425,-4.680369,-4.579248,-5.660574,6.020876,137.035999,5.313987
GW200219_094415,GWTC-3,C01:IMRPhenomXPHM,posterior,62.9356,-0.0841,0.6625,0.6271,5.305845,0.098394,137.607737,137.695942,136.614528,-0.993209,132.301891,132.390097,131.308683,-4.734108,-4.645902,-5.727316,5.975805,137.035999,5.313987
GW200220_061928,GWTC-3,C01:IMRPhenomXPHM,posterior,144.1972,0.0373,0.6958,0.9314,5.332795,0.234877,138.803831,138.763059,137.733478,-1.070353,133.471036,133.430264,132.400683,-3.564963,-3.605735,-4.635316,7.171899,137.035999,5.313987
GW200220_061928,GWTC-3,C01:IMRPhenomXPHM,posterior,130.8113,0.0805,0.7189,1.1703,5.359873,0.166807,138.663275,138.573772,137.536323,-1.126952,133.303402,133.213899,132.17645,-3.732597,-3.8221,-4.859549,7.031343,137.035999,5.313987
GW200220_124850,GWTC-3,C01:IMRPhenomXPHM,posterior,65.742,-0.0741,0.6673,0.6696,5.302616,0.117663,137.670675,137.748648,136.666739,-1.003937,132.368059,132.446032,131.364123,-4.66794,-4.589967,-5.671876,6.038743,137.035999,5.313987
GW200220_124850,GWTC-3,C01:IMRPhenomXPHM,posterior,62.2533,-0.0535,0.6763,0.7977,5.315809,0.106037,137.59201,137.648751,136.567475,-1.024535,132.276202,132.332943,131.251667,-4.759798,-4.703057,-5.784332,5.960078,137.035999,5.313987
GW200224_222234,GWTC-3,C01:IMRPhenomXPHM,posterior,71.9586,0.1001,0.7326,0.3159,5.398035,0.076352,137.801028,137.688871,136.639118,-1.16191,132.402993,132.290835,131.241082,-4.633006,-4.745164,-5.794917,6.169096,137.035999,5.313987
GW200224_222234,GWTC-3,C01:IMRPhenomXPHM,posterior,71.5674,0.1032,0.7346,0.3279,5.399574,0.073096,137.793164,137.677341,136.626045,-1.167118,132.39359,132.277767,131.226472,-4.642409,-4.758232,-5.809528,6.161232,137.035999,5.313987
GW200225_060421,GWTC-3,C01:IMRPhenomXPHM,posterior,33.5639,-0.1381,0.656,0.2138,5.280417,0.094845,136.700771,136.84304,135.722011,-0.97876,131.420354,131.562623,130.441595,-5.615645,-5.473376,-6.594405,5.068839,137.035999,5.313987
GW200225_060421,GWTC-3,C01:IMRPhenomXPHM,posterior,33.3536,-0.1271,0.6593,0.2258,5.285762,0.092831,136.691705,136.823119,135.705613,-0.986091,131.405943,131.537358,130.419851,-5.630056,-5.498642,-6.616148,5.059773,137.035999,5.313987
GW200302_015811,GWTC-3,C01:IMRPhenomXPHM,posterior,57.445,-0.0012,0.6396,0.2708,5.201894,0.163701,137.476041,137.477283,136.532962,-0.943078,132.274147,132.275389,131.331069,-4.761852,-4.76061,-5.704931,5.844109,137.035999,5.313987
GW200302_015811,GWTC-3,C01:IMRPhenomXPHM,posterior,56.8752,0.0131,0.6527,0.2974,5.225078,0.161466,137.461661,137.447444,136.490076,-0.971585,132.236583,132.222366,131.264998,-4.799416,-4.813633,-5.771001,5.829729,137.035999,5.313987
GW200306_093714,GWTC-3,C01:IMRPhenomXPHM,posterior,43.7158,0.3102,0.7847,0.3787,5.376419,0.28672,137.082014,136.702391,135.776011,-1.306003,131.705595,131.325972,130.399592,-5.330404,-5.710027,-6.636407,5.450082,137.035999,5.313987
GW200306_093714,GWTC-3,C01:IMRPhenomXPHM,posterior,42.7835,0.3569,0.8038,0.4337,5.420961,0.264371,137.050916,136.60448,135.686562,-1.364354,131.629955,131.183519,130.265601,-5.406044,-5.85248,-6.770398,5.418984,137.035999,5.313987
GW200308_173609,GWTC-3,C01:IMRPhenomXPHM,posterior,102.5327,0.127,0.7058,1.0054,5.185479,0.533146,138.311873,138.168086,137.217405,-1.094468,133.126394,132.982608,132.031926,-3.909605,-4.053391,-5.004073,6.679941,137.035999,5.313987
GW200308_173609,GWTC-3,C01:IMRPhenomXPHM,posterior,103.0438,0.0576,0.6739,2.1487,5.170826,0.531856,138.319045,138.255532,137.299924,-1.019121,133.14822,133.084706,132.129098,-3.887779,-3.951293,-4.906901,6.687113,137.035999,5.313987
GW200311_115853,GWTC-3,C01:IMRPhenomXPHM,posterior,61.4657,-0.0357,0.6831,0.2295,5.338147,0.076073,137.573641,137.61167,136.533235,-1.040406,132.235494,132.273523,131.195088,-4.800505,-4.762476,-5.840911,5.941709,137.035999,5.313987
GW200311_115853,GWTC-3,C01:IMRPhenomXPHM,posterior,61.3428,-0.0325,0.6847,0.2338,5.339013,0.074487,137.570754,137.605492,136.526787,-1.043967,132.23174,132.266479,131.187773,-4.804259,-4.76952,-5.848226,5.938822,137.035999,5.313987
GW200316_215756,GWTC-3,C01:IMRPhenomXPHM,posterior,21.7761,0.1507,0.7023,0.2137,5.291595,0.175532,136.076608,135.904353,134.990587,-1.086021,130.785012,130.612757,129.698991,-6.250987,-6.423242,-7.337008,4.444676,137.035999,5.313987
GW200316_215756,GWTC-3,C01:IMRPhenomXPHM,posterior,21.5792,0.1489,0.7029,0.2219,5.293432,0.17645,136.063504,135.893517,134.976007,-1.087497,130.770072,130.600085,129.682576,-6.265927,-6.435914,-7.353424,4.431572,137.035999,5.313987
GW200322_091133,GWTC-3,C01:IMRPhenomXPHM,posterior,76.6638,0.1008,0.6841,0.8231,5.026192,0.784262,137.892405,137.779416,136.849667,-1.042738,132.866213,132.753223,131.823475,-4.169787,-4.282776,-5.212524,6.260473,137.035999,5.313987
GW200322_091133,GWTC-3,C01:IMRPhenomXPHM,posterior,83.8205,0.0373,0.6308,2.0452,4.632071,0.882896,138.021164,137.980397,137.09691,-0.924253,133.389092,133.348325,132.464839,-3.646907,-3.687674,-4.57116,6.389232,137.035999,5.313987
GW230518_125908,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,9.6205,-0.0124,0.3852,0.0516,4.552375,0.063382,134.898051,134.91139,134.40939,-0.488661,130.345675,130.359015,129.857015,-6.690324,-6.676984,-7.178985,3.266119,137.035999,5.313987
GW230529_181500,GWTC-4,C00:IMRPhenomXPHM:HighSpin,posterior,5.009,-0.1125,0.582,0.0448,5.066715,0.11441,133.956458,134.073301,133.131254,-0.825203,128.889743,129.006586,128.06454,-8.146256,-8.029413,-8.971459,2.324526,137.035999,5.313987
GW230601_224134,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,108.7076,-0.0201,0.6702,0.5716,5.302915,0.116334,138.396241,138.417844,137.385688,-1.010553,133.093326,133.114928,132.082773,-3.942673,-3.921071,-4.953226,6.764309,137.035999,5.313987
GW230605_065343,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,28.7266,0.0683,0.6867,0.2049,5.328778,0.080883,136.47625,136.400652,135.42763,-1.04862,131.147472,131.071874,130.098852,-5.888527,-5.964125,-6.937147,4.844318,137.035999,5.313987
GW230606_004305,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,62.6625,-0.1361,0.636,0.4674,5.267046,0.124579,137.601462,137.741811,136.666189,-0.935273,132.334415,132.474764,131.399142,-4.701584,-4.561235,-5.636857,5.96953,137.035999,5.313987
GW230608_205047,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,78.8106,0.0498,0.6953,0.5668,5.323086,0.150314,137.93225,137.877545,136.863157,-1.069093,132.609164,132.554458,131.540071,-4.426835,-4.481541,-5.495928,6.300318,137.035999,5.313987
GW230609_064958,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,59.9485,-0.1427,0.6402,0.5549,5.277572,0.10516,137.537585,137.684379,136.593253,-0.944332,132.260013,132.406807,131.315681,-4.775986,-4.629192,-5.720319,5.905653,137.035999,5.313987
GW230624_113103,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,43.1645,0.1367,0.7089,0.3477,5.345439,0.13242,137.063704,136.908356,135.961727,-1.101976,131.718265,131.562917,130.616288,-5.317734,-5.473082,-6.419711,5.431772,137.035999,5.313987
GW230627_015337,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,14.1812,0.021,0.6772,0.0663,5.336123,0.042726,135.457842,135.435044,134.43117,-1.026671,130.121718,130.09892,129.095047,-6.914281,-6.937079,-7.940952,3.82591,137.035999,5.313987
GW230628_231200,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,59.2169,-0.0023,0.7019,0.4077,5.360529,0.051052,137.519869,137.522327,136.434931,-1.084938,132.15934,132.161798,131.074401,-4.876659,-4.874201,-5.961598,5.887937,137.035999,5.313987
GW230630_125806,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,85.6976,0.2026,0.7655,0.8132,5.393089,0.186947,138.053115,137.816593,136.802457,-1.250658,132.660026,132.423504,131.409368,-4.375973,-4.612495,-5.626631,6.421183,137.035999,5.313987
GW230630_234532,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,16.831,-0.0401,0.6583,0.2114,5.301018,0.073578,135.704982,135.74772,134.72109,-0.983893,130.403965,130.446702,129.420072,-6.632034,-6.589297,-7.615927,4.07305,137.035999,5.313987
GW230702_185453,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,60.8191,0.0587,0.6271,0.4143,5.13827,0.221276,137.558383,137.493621,136.641967,-0.916417,132.420113,132.355351,131.503696,-4.615886,-4.680649,-5.532303,5.926451,137.035999,5.313987
GW230704_021211,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,53.5414,-0.0139,0.6561,0.4506,5.280832,0.126448,137.374516,137.389444,136.395595,-0.978921,132.093684,132.108612,131.114763,-4.942315,-4.927387,-5.921236,5.742584,137.035999,5.313987
GW230704_212616,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,posterior,141.5987,0.3772,0.8035,1.0016,5.382753,0.256198,138.777597,138.301037,137.414128,-1.363468,133.394843,132.918284,132.031375,-3.641156,-4.117715,-5.004624,7.145665,137.035999,5.313987
