event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,posterior,66.2608,0.0651,0.718,0.3817,5.36973,0.09842,137.682016,137.61007,136.557286,-1.12473,132.312286,132.24034,131.187556,-4.723713,-4.795659,-5.848443,6.050084,137.035999,5.313987
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,posterior,107.1354,0.6786,0.9122,1.1374,5.21412,0.343804,138.375223,137.34535,136.587507,-1.787716,133.161103,132.131231,131.373387,-3.874896,-4.904768,-5.662612,6.743291,137.035999,5.313987
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,posterior,98.5777,0.6959,0.9198,1.4295,5.40014,0.292684,138.255122,137.184536,136.428076,-1.827046,132.854981,131.784395,131.027935,-4.181018,-5.251604,-6.008064,6.62319,137.035999,5.313987
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,posterior,43.496,-0.0301,0.6691,0.2858,5.321596,0.074859,137.074744,137.10691,136.066663,-1.008081,131.753148,131.785314,130.745067,-5.282851,-5.250685,-6.290932,5.442812,137.035999,5.313987
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,posterior,43.1812,-0.0291,0.6697,0.2961,5.321423,0.072635,137.064262,137.095382,136.054895,-1.009366,131.742839,131.77396,130.733473,-5.29316,-5.26204,-6.302527,5.43233,137.035999,5.313987
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,posterior,38.4591,0.247,0.6569,0.1416,5.022211,0.078574,136.897184,136.603396,135.916446,-0.980738,131.874973,131.581185,130.894235,-5.161026,-5.454814,-6.141764,5.265252,137.035999,5.313987
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,posterior,38.4473,0.2479,0.6573,0.1434,5.020724,0.078802,136.896743,136.601756,135.915077,-0.981666,131.876019,131.581032,130.894353,-5.159981,-5.454967,-6.141646,5.264811,137.035999,5.313987
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,posterior,58.027,-0.0353,0.6733,0.5579,5.313018,0.115031,137.490584,137.528233,136.472802,-1.017782,132.177566,132.215215,131.159783,-4.858433,-4.820784,-5.876216,5.858652,137.035999,5.313987
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,posterior,56.9955,-0.0035,0.685,0.6146,5.329395,0.111198,137.464708,137.468535,136.41999,-1.044718,132.135313,132.139139,131.090595,-4.900686,-4.89686,-5.945404,5.832777,137.035999,5.313987
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,posterior,81.2511,-0.0085,0.6798,0.6226,5.273783,0.203854,137.976248,137.985388,136.943588,-1.03266,132.702466,132.711606,131.669806,-4.333534,-4.324394,-5.366193,6.344316,137.035999,5.313987
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,posterior,78.6772,0.0211,0.6935,0.7298,5.311039,0.169699,137.929805,137.906878,136.865041,-1.064764,132.618767,132.595839,131.554003,-4.417232,-4.44016,-5.481997,6.297874,137.035999,5.313987
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,posterior,73.6101,-0.0959,0.6604,0.4527,5.305285,0.102963,137.833764,137.934003,136.845225,-0.988539,132.528479,132.628717,131.53994,-4.507521,-4.407282,-5.496059,6.201832,137.035999,5.313987
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,posterior,71.669,-0.0839,0.6644,0.5064,5.310359,0.09766,137.79521,137.883265,136.797729,-0.997481,132.484851,132.572905,131.48737,-4.551148,-4.463094,-5.548629,6.163278,137.035999,5.313987
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,posterior,182.3339,0.2261,0.7719,0.7259,5.418206,0.183825,139.142371,138.875851,137.873595,-1.268777,133.724165,133.457644,132.455388,-3.311834,-3.578355,-4.580611,7.510439,137.035999,5.313987
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,posterior,172.1122,0.2975,0.7978,0.8698,5.449271,0.166979,139.059138,138.697156,137.713298,-1.34584,133.609867,133.247885,132.264027,-3.426132,-3.788114,-4.771972,7.427206,137.035999,5.313987
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,posterior,69.4292,-0.0575,0.6592,0.2841,5.289253,0.140284,137.749402,137.810237,136.763494,-0.985908,132.460149,132.520984,131.474241,-4.57585,-4.515015,-5.561759,6.11747,137.035999,5.313987
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,posterior,69.1812,-0.0425,0.6646,0.2996,5.298355,0.13215,137.744241,137.789465,136.746263,-0.997978,132.445886,132.49111,131.447908,-4.590113,-4.544889,-5.588091,6.112309,137.035999,5.313987
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,posterior,36.0873,0.0279,0.651,0.2783,5.235675,0.108878,136.805352,136.774869,135.837574,-0.967778,131.569677,131.539194,130.601899,-5.466322,-5.496805,-6.4341,5.17342,137.035999,5.313987
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,posterior,35.7398,0.0294,0.6527,0.2895,5.237961,0.109162,136.791391,136.759262,135.820001,-0.971389,131.553429,131.521301,130.58204,-5.48257,-5.514698,-6.453959,5.159459,137.035999,5.313987
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,posterior,54.2525,0.1346,0.7035,0.3888,5.265078,0.163938,137.393551,137.240765,136.304596,-1.088954,132.128473,131.975687,131.039519,-4.907526,-5.060312,-5.996481,5.761619,137.035999,5.313987
