gamma,mean_n,median_n,chi2,delta_n
0.066517,4.338423,4.408837,0.95175040,-0.975577
0.067067,4.344369,4.414783,0.94018429,-0.969631
0.067618,4.350266,4.420680,0.92878259,-0.963734
0.068168,4.356116,4.426530,0.91754206,-0.957884
0.068719,4.361918,4.432332,0.90645955,-0.952082
0.069269,4.367674,4.438088,0.89553202,-0.946326
0.069820,4.373385,4.443799,0.88475648,-0.940615
0.070370,4.379051,4.449465,0.87413003,-0.934949
0.070921,4.384672,4.455086,0.86364984,-0.929328
0.071471,4.390250,4.460665,0.85331317,-0.923750
0.072022,4.395786,4.466200,0.84311734,-0.918214
0.072573,4.401279,4.471693,0.83305973,-0.912721
0.073123,4.406731,4.477145,0.82313780,-0.907269
0.073674,4.412141,4.482555,0.81334906,-0.901859
0.074224,4.417512,4.487926,0.80369111,-0.896488
0.074775,4.422843,4.493257,0.79416157,-0.891157
0.075325,4.428134,4.498548,0.78475815,-0.885866
0.075876,4.433387,4.503801,0.77547861,-0.880613
0.076426,4.438603,4.509017,0.76632074,-0.875397
0.076977,4.443780,4.514194,0.75728242,-0.870220
0.077528,4.448921,4.519335,0.74836156,-0.865079
0.078078,4.454026,4.524440,0.73955613,-0.859974
0.078629,4.459094,4.529508,0.73086413,-0.854906
0.079179,4.464127,4.534541,0.72228362,-0.849873
0.079730,4.469126,4.539540,0.71381271,-0.844874
0.080280,4.474090,4.544504,0.70544954,-0.839910
0.080831,4.479020,4.549434,0.69719231,-0.834980
0.081381,4.483916,4.554330,0.68903925,-0.830084
0.081932,4.488780,4.559194,0.68098862,-0.825220
0.082482,4.493611,4.564025,0.67303874,-0.820389
0.083033,4.498409,4.568823,0.66518797,-0.815591
0.083584,4.503177,4.573591,0.65743468,-0.810823
0.084134,4.507912,4.578326,0.64977729,-0.806088
0.084685,4.512617,4.583031,0.64221427,-0.801383
0.085235,4.517292,4.587706,0.63474410,-0.796708
0.085786,4.521936,4.592350,0.62736531,-0.792064
0.086336,4.526551,4.596965,0.62007644,-0.787449
0.086887,4.531136,4.601550,0.61287610,-0.782864
0.087437,4.535692,4.606106,0.60576288,-0.778308
0.087988,4.540220,4.610634,0.59873545,-0.773780
0.088539,4.544720,4.615134,0.59179246,-0.769280
0.089089,4.549191,4.619605,0.58493263,-0.764809
0.089640,4.553635,4.624049,0.57815469,-0.760365
0.090190,4.558052,4.628466,0.57145738,-0.755948
0.090741,4.562442,4.632856,0.56483949,-0.751558
0.091291,4.566805,4.637219,0.55829983,-0.747195
0.091842,4.571143,4.641557,0.55183723,-0.742857
0.092392,4.575454,4.645868,0.54545054,-0.738546
0.092943,4.579739,4.650153,0.53913863,-0.734261
0.093493,4.584000,4.654414,0.53290041,-0.730000
0.094044,4.588235,4.658649,0.52673480,-0.725765
0.094595,4.592446,4.662860,0.52064074,-0.721554
0.095145,4.596632,4.667046,0.51461719,-0.717368
0.095696,4.600794,4.671208,0.50866315,-0.713206
0.096246,4.604932,4.675346,0.50277761,-0.709068
0.096797,4.609046,4.679460,0.49695959,-0.704954
0.097347,4.613138,4.683552,0.49120815,-0.700862
0.097898,4.617206,4.687620,0.48552233,-0.696794
0.098448,4.621251,4.691665,0.47990122,-0.692749
0.098999,4.625274,4.695688,0.47434391,-0.688726
0.099550,4.629274,4.699688,0.46884952,-0.684726
0.100100,4.633252,4.703667,0.46341717,-0.680748
0.100651,4.637209,4.707623,0.45804601,-0.676791
0.101201,4.641144,4.711558,0.45273521,-0.672856
0.101752,4.645058,4.715472,0.44748393,-0.668942
0.102302,4.648950,4.719364,0.44229138,-0.665050
0.102853,4.652822,4.723236,0.43715676,-0.661178
0.103403,4.656673,4.727087,0.43207928,-0.657327
0.103954,4.660503,4.730917,0.42705820,-0.653497
0.104505,4.664313,4.734727,0.42209275,-0.649687
0.105055,4.668104,4.738518,0.41718219,-0.645896
0.105606,4.671874,4.742288,0.41232581,-0.642126
0.106156,4.675625,4.746039,0.40752289,-0.638375
0.106707,4.679356,4.749770,0.40277274,-0.634644
0.107257,4.683068,4.753482,0.39807466,-0.630932
0.107808,4.686762,4.757176,0.39342799,-0.627238
0.108358,4.690436,4.760850,0.38883206,-0.623564
0.108909,4.694092,4.764506,0.38428621,-0.619908
0.109459,4.697729,4.768143,0.37978982,-0.616271
0.110010,4.701348,4.771762,0.37534225,-0.612652
0.110561,4.704949,4.775363,0.37094287,-0.609051
0.111111,4.708532,4.778946,0.36659110,-0.605468
0.111662,4.712098,4.782512,0.36228632,-0.601902
0.112212,4.715646,4.786060,0.35802795,-0.598354
0.112763,4.719176,4.789590,0.35381541,-0.594824
0.113313,4.722689,4.793103,0.34964814,-0.591311
0.113864,4.726186,4.796600,0.34552557,-0.587814
0.114414,4.729665,4.800079,0.34144717,-0.584335
0.114965,4.733128,4.803542,0.33741237,-0.580872
0.115516,4.736574,4.806988,0.33342066,-0.577426
0.116066,4.740004,4.810418,0.32947152,-0.573996
0.116617,4.743417,4.813831,0.32556442,-0.570583
0.117167,4.746815,4.817229,0.32169887,-0.567185
0.117718,4.750197,4.820611,0.31787436,-0.563803
0.118268,4.753562,4.823976,0.31409041,-0.560438
0.118819,4.756912,4.827326,0.31034653,-0.557088
0.119369,4.760247,4.830661,0.30664225,-0.553753
0.119920,4.763566,4.833980,0.30297710,-0.550434
0.120470,4.766871,4.837285,0.29935062,-0.547129
0.121021,4.770160,4.840574,0.29576236,-0.543840
0.121572,4.773434,4.843848,0.29221188,-0.540566
0.122122,4.776693,4.847107,0.28869874,-0.537307
0.122673,4.779938,4.850352,0.28522250,-0.534062
0.123223,4.783168,4.853582,0.28178275,-0.530832
0.123774,4.786384,4.856798,0.27837905,-0.527616
0.124324,4.789585,4.859999,0.27501101,-0.524415
0.124875,4.792772,4.863186,0.27167821,-0.521228
0.125425,4.795946,4.866360,0.26838026,-0.518054
0.125976,4.799105,4.869519,0.26511676,-0.514895
0.126527,4.802251,4.872665,0.26188732,-0.511749
0.127077,4.805383,4.875797,0.25869157,-0.508617
0.127628,4.808501,4.878915,0.25552912,-0.505499
0.128178,4.811606,4.882020,0.25239961,-0.502394
0.128729,4.814698,4.885112,0.24930267,-0.499302
0.129279,4.817776,4.888190,0.24623795,-0.496224
0.129830,4.820842,4.891256,0.24320508,-0.493158
0.130380,4.823894,4.894308,0.24020372,-0.490106
0.130931,4.826934,4.897348,0.23723352,-0.487066
0.131481,4.829961,4.900375,0.23429415,-0.484039
0.132032,4.832975,4.903389,0.23138527,-0.481025
0.132583,4.835976,4.906390,0.22850655,-0.478024
0.133133,4.838966,4.909380,0.22565767,-0.475034
0.133684,4.841942,4.912357,0.22283830,-0.472058
0.134234,4.844907,4.915321,0.22004814,-0.469093
0.134785,4.847860,4.918274,0.21728687,-0.466140
0.135335,4.850800,4.921214,0.21455418,-0.463200
0.135886,4.853729,4.924143,0.21184977,-0.460271
0.136436,4.856645,4.927059,0.20917335,-0.457355
0.136987,4.859550,4.929964,0.20652461,-0.454450
0.137538,4.862443,4.932858,0.20390328,-0.451557
0.138088,4.865325,4.935739,0.20130906,-0.448675
0.138639,4.868195,4.938610,0.19874167,-0.445805
0.139189,4.871054,4.941468,0.19620084,-0.442946
0.139740,4.873902,4.944316,0.19368628,-0.440098
0.140290,4.876738,4.947152,0.19119774,-0.437262
0.140841,4.879564,4.949978,0.18873494,-0.434436
0.141391,4.882378,4.952792,0.18629761,-0.431622
0.141942,4.885181,4.955595,0.18388551,-0.428819
0.142492,4.887974,4.958388,0.18149837,-0.426026
0.143043,4.890755,4.961169,0.17913595,-0.423245
0.143594,4.893526,4.963940,0.17679798,-0.420474
0.144144,4.896287,4.966701,0.17448424,-0.417713
0.144695,4.899037,4.969451,0.17219446,-0.414963
0.145245,4.901776,4.972190,0.16992842,-0.412224
0.145796,4.904505,4.974919,0.16768587,-0.409495
0.146346,4.907224,4.977638,0.16546659,-0.406776
0.146897,4.909933,4.980347,0.16327035,-0.404067
0.147447,4.912631,4.983045,0.16109691,-0.401369
0.147998,4.915320,4.985734,0.15894605,-0.398680
0.148549,4.917998,4.988412,0.15681755,-0.396002
0.149099,4.920667,4.991081,0.15471120,-0.393333
0.149650,4.923325,4.993739,0.15262677,-0.390675
0.150200,4.925974,4.996388,0.15056406,-0.388026
0.150751,4.928613,4.999027,0.14852285,-0.385387
0.151301,4.931243,5.001657,0.14650293,-0.382757
0.151852,4.933863,5.004277,0.14450411,-0.380137
0.152402,4.936474,5.006888,0.14252618,-0.377526
0.152953,4.939075,5.009489,0.14056893,-0.374925
0.153504,4.941667,5.012081,0.13863218,-0.372333
0.154054,4.944249,5.014663,0.13671572,-0.369751
0.154605,4.946822,5.017236,0.13481937,-0.367178
0.155155,4.949387,5.019801,0.13294293,-0.364613
0.155706,4.951942,5.022356,0.13108622,-0.362058
0.156256,4.954488,5.024902,0.12924905,-0.359512
0.156807,4.957025,5.027439,0.12743124,-0.356975
0.157357,4.959553,5.029967,0.12563260,-0.354447
0.157908,4.962072,5.032487,0.12385297,-0.351928
0.158458,4.964583,5.034997,0.12209216,-0.349417
0.159009,4.967085,5.037499,0.12034999,-0.346915
0.159560,4.969578,5.039992,0.11862630,-0.344422
0.160110,4.972063,5.042477,0.11692092,-0.341937
0.160661,4.974539,5.044953,0.11523367,-0.339461
0.161211,4.977007,5.047421,0.11356440,-0.336993
0.161762,4.979466,5.049880,0.11191294,-0.334534
0.162312,4.981917,5.052331,0.11027912,-0.332083
0.162863,4.984360,5.054774,0.10866278,-0.329640
0.163413,4.986794,5.057208,0.10706377,-0.327206
0.163964,4.989220,5.059634,0.10548194,-0.324780
0.164515,4.991638,5.062052,0.10391712,-0.322362
0.165065,4.994048,5.064462,0.10236916,-0.319952
0.165616,4.996450,5.066864,0.10083791,-0.317550
0.166166,4.998844,5.069258,0.09932323,-0.315156
0.166717,5.001230,5.071644,0.09782497,-0.312770
0.167267,5.003608,5.074022,0.09634297,-0.310392
0.167818,5.005979,5.076393,0.09487710,-0.308021
0.168368,5.008341,5.078755,0.09342721,-0.305659
0.168919,5.010696,5.081110,0.09199317,-0.303304
0.169469,5.013043,5.083457,0.09057483,-0.300957
0.170020,5.015383,5.085797,0.08917205,-0.298617
0.170571,5.017715,5.088129,0.08778471,-0.296285
0.171121,5.020040,5.090454,0.08641266,-0.293960
0.171672,5.022357,5.092771,0.08505577,-0.291643
0.172222,5.024666,5.095080,0.08371391,-0.289334
0.172773,5.026969,5.097383,0.08238695,-0.287031
0.173323,5.029264,5.099678,0.08107477,-0.284736
0.173874,5.031551,5.101965,0.07977723,-0.282449
0.174424,5.033832,5.104246,0.07849421,-0.280168
0.174975,5.036105,5.106519,0.07722558,-0.277895
0.175526,5.038371,5.108785,0.07597123,-0.275629
0.176076,5.040630,5.111044,0.07473103,-0.273370
0.176627,5.042882,5.113296,0.07350486,-0.271118
0.177177,5.045127,5.115541,0.07229260,-0.268873
0.177728,5.047365,5.117779,0.07109413,-0.266635
0.178278,5.049596,5.120010,0.06990934,-0.264404
0.178829,5.051820,5.122234,0.06873812,-0.262180
0.179379,5.054038,5.124452,0.06758034,-0.259962
0.179930,5.056248,5.126662,0.06643590,-0.257752
0.180480,5.058452,5.128866,0.06530468,-0.255548
0.181031,5.060649,5.131063,0.06418658,-0.253351
0.181582,5.062840,5.133254,0.06308149,-0.251160
0.182132,5.065024,5.135438,0.06198929,-0.248976
0.182683,5.067201,5.137615,0.06090988,-0.246799
0.183233,5.069371,5.139785,0.05984316,-0.244629
0.183784,5.071536,5.141950,0.05878902,-0.242464
0.184334,5.073693,5.144107,0.05774736,-0.240307
0.184885,5.075844,5.146258,0.05671808,-0.238156
0.185435,5.077989,5.148403,0.05570107,-0.236011
0.185986,5.080128,5.150542,0.05469623,-0.233872
0.186537,5.082260,5.152674,0.05370347,-0.231740
0.187087,5.084386,5.154800,0.05272269,-0.229614
0.187638,5.086505,5.156919,0.05175379,-0.227495
0.188188,5.088619,5.159033,0.05079667,-0.225381
0.188739,5.090726,5.161140,0.04985125,-0.223274
0.189289,5.092827,5.163241,0.04891742,-0.221173
0.189840,5.094922,5.165336,0.04799509,-0.219078
0.190390,5.097011,5.167425,0.04708418,-0.216989
0.190941,5.099094,5.169508,0.04618458,-0.214906
0.191491,5.101171,5.171585,0.04529621,-0.212829
0.192042,5.103242,5.173656,0.04441899,-0.210758
0.192593,5.105307,5.175721,0.04355281,-0.208693
0.193143,5.107366,5.177780,0.04269760,-0.206634
0.193694,5.109419,5.179833,0.04185327,-0.204581
0.194244,5.111467,5.181881,0.04101973,-0.202533
0.194795,5.113508,5.183922,0.04019690,-0.200492
0.195345,5.115544,5.185958,0.03938470,-0.198456
0.195896,5.117574,5.187988,0.03858303,-0.196426
0.196446,5.119599,5.190013,0.03779182,-0.194401
0.196997,5.121618,5.192032,0.03701099,-0.192382
0.197548,5.123631,5.194045,0.03624045,-0.190369
0.198098,5.125638,5.196052,0.03548013,-0.188362
0.198649,5.127640,5.198054,0.03472995,-0.186360
0.199199,5.129637,5.200051,0.03398982,-0.184363
0.199750,5.131628,5.202042,0.03325968,-0.182372
0.200300,5.133613,5.204027,0.03253944,-0.180387
0.200851,5.135593,5.206007,0.03182903,-0.178407
0.201401,5.137568,5.207982,0.03112838,-0.176432
0.201952,5.139537,5.209951,0.03043740,-0.174463
0.202503,5.141501,5.211915,0.02975602,-0.172499
0.203053,5.143459,5.213873,0.02908418,-0.170541
0.203604,5.145412,5.215826,0.02842180,-0.168588
0.204154,5.147360,5.217774,0.02776881,-0.166640
0.204705,5.149303,5.219717,0.02712513,-0.164697
0.205255,5.151240,5.221654,0.02649070,-0.162760
0.205806,5.153173,5.223587,0.02586544,-0.160827
0.206356,5.155100,5.225514,0.02524930,-0.158900
0.206907,5.157022,5.227436,0.02464219,-0.156978
0.207457,5.158939,5.229353,0.02404406,-0.155061
0.208008,5.160850,5.231264,0.02345482,-0.153150
0.208559,5.162757,5.233171,0.02287443,-0.151243
0.209109,5.164659,5.235073,0.02230281,-0.149341
0.209660,5.166555,5.236969,0.02173990,-0.147445
0.210210,5.168447,5.238861,0.02118563,-0.145553
0.210761,5.170334,5.240748,0.02063994,-0.143666
0.211311,5.172216,5.242630,0.02010276,-0.141784
0.211862,5.174093,5.244507,0.01957404,-0.139907
0.212412,5.175965,5.246379,0.01905371,-0.138035
0.212963,5.177832,5.248246,0.01854171,-0.136168
0.213514,5.179694,5.250108,0.01803797,-0.134306
0.214064,5.181552,5.251966,0.01754245,-0.132448
0.214615,5.183405,5.253819,0.01705507,-0.130595
0.215165,5.185253,5.255667,0.01657578,-0.128747
0.215716,5.187096,5.257510,0.01610452,-0.126904
0.216266,5.188935,5.259349,0.01564123,-0.125065
0.216817,5.190769,5.261183,0.01518585,-0.123231
0.217367,5.192598,5.263012,0.01473833,-0.121402
0.217918,5.194423,5.264837,0.01429861,-0.119577
0.218468,5.196243,5.266657,0.01386664,-0.117757
0.219019,5.198059,5.268473,0.01344235,-0.115941
0.219570,5.199870,5.270284,0.01302569,-0.114130
0.220120,5.201676,5.272090,0.01261661,-0.112324
0.220671,5.203478,5.273892,0.01221506,-0.110522
0.221221,5.205276,5.275690,0.01182098,-0.108724
0.221772,5.207069,5.277483,0.01143431,-0.106931
0.222322,5.208857,5.279271,0.01105501,-0.105143
0.222873,5.210641,5.281055,0.01068302,-0.103359
0.223423,5.212421,5.282835,0.01031829,-0.101579
0.223974,5.214196,5.284610,0.00996077,-0.099804
0.224525,5.215967,5.286381,0.00961041,-0.098033
0.225075,5.217734,5.288148,0.00926716,-0.096266
0.225626,5.219496,5.289910,0.00893096,-0.094504
0.226176,5.221254,5.291668,0.00860177,-0.092746
0.226727,5.223008,5.293422,0.00827954,-0.090992
0.227277,5.224758,5.295172,0.00796422,-0.089242
0.227828,5.226503,5.296917,0.00765577,-0.087497
0.228378,5.228244,5.298658,0.00735412,-0.085756
0.228929,5.229981,5.300395,0.00705925,-0.084019
0.229479,5.231713,5.302127,0.00677109,-0.082287
0.230030,5.233442,5.303856,0.00648961,-0.080558
0.230581,5.235166,5.305580,0.00621475,-0.078834
0.231131,5.236887,5.307301,0.00594648,-0.077113
0.231682,5.238603,5.309017,0.00568474,-0.075397
0.232232,5.240315,5.310729,0.00542949,-0.073685
0.232783,5.242023,5.312437,0.00518069,-0.071977
0.233333,5.243727,5.314141,0.00493830,-0.070273
0.233884,5.245427,5.315841,0.00470225,-0.068573
0.234434,5.247123,5.317537,0.00447253,-0.066877
0.234985,5.248815,5.319229,0.00424907,-0.065185
0.235536,5.250503,5.320917,0.00403185,-0.063497
0.236086,5.252187,5.322601,0.00382081,-0.061813
0.236637,5.253868,5.324282,0.00361592,-0.060132
0.237187,5.255544,5.325958,0.00341712,-0.058456
0.237738,5.257216,5.327630,0.00322439,-0.056784
0.238288,5.258885,5.329299,0.00303768,-0.055115
0.238839,5.260550,5.330964,0.00285695,-0.053450
0.239389,5.262210,5.332624,0.00268216,-0.051790
0.239940,5.263867,5.334281,0.00251327,-0.050133
0.240490,5.265521,5.335935,0.00235024,-0.048479
0.241041,5.267170,5.337584,0.00219303,-0.046830
0.241592,5.268816,5.339230,0.00204160,-0.045184
0.242142,5.270458,5.340872,0.00189592,-0.043542
0.242693,5.272096,5.342510,0.00175594,-0.041904
0.243243,5.273731,5.344145,0.00162162,-0.040269
0.243794,5.275361,5.345776,0.00149293,-0.038639
0.244344,5.276989,5.347403,0.00136984,-0.037011
0.244895,5.278612,5.349026,0.00125230,-0.035388
0.245445,5.280232,5.350646,0.00114028,-0.033768
0.245996,5.281848,5.352262,0.00103374,-0.032152
0.246547,5.283461,5.353875,0.00093264,-0.030539
0.247097,5.285070,5.355484,0.00083696,-0.028930
0.247648,5.286675,5.357089,0.00074664,-0.027325
0.248198,5.288277,5.358691,0.00066167,-0.025723
0.248749,5.289875,5.360289,0.00058200,-0.024125
0.249299,5.291470,5.361884,0.00050759,-0.022530
0.249850,5.293061,5.363475,0.00043842,-0.020939
0.250400,5.294649,5.365063,0.00037445,-0.019351
0.250951,5.296233,5.366648,0.00031565,-0.017767
0.251502,5.297814,5.368228,0.00026198,-0.016186
0.252052,5.299392,5.369806,0.00021340,-0.014608
0.252603,5.300966,5.371380,0.00016990,-0.013034
0.253153,5.302536,5.372950,0.00013142,-0.011464
0.253704,5.304103,5.374517,0.00009795,-0.009897
0.254254,5.305667,5.376081,0.00006944,-0.008333
0.254805,5.307227,5.377641,0.00004587,-0.006773
0.255355,5.308784,5.379198,0.00002721,-0.005216
0.255906,5.310338,5.380752,0.00001341,-0.003662
0.256456,5.311888,5.382302,0.00000446,-0.002112
0.257007,5.313435,5.383849,0.00000032,-0.000565
0.257558,5.314978,5.385392,0.00000096,0.000978
0.258108,5.316519,5.386933,0.00000634,0.002519
0.258659,5.318056,5.388470,0.00001645,0.004056
0.259209,5.319589,5.390003,0.00003124,0.005589
0.259760,5.321120,5.391534,0.00005069,0.007120
0.260310,5.322647,5.393061,0.00007477,0.008647
0.260861,5.324171,5.394585,0.00010345,0.010171
0.261411,5.325692,5.396106,0.00013670,0.011692
0.261962,5.327209,5.397623,0.00017449,0.013209
0.262513,5.328724,5.399138,0.00021679,0.014724
0.263063,5.330235,5.400649,0.00026358,0.016235
0.263614,5.331743,5.402157,0.00031482,0.017743
0.264164,5.333248,5.403662,0.00037049,0.019248
0.264715,5.334750,5.405164,0.00043056,0.020750
0.265265,5.336249,5.406663,0.00049500,0.022249
0.265816,5.337744,5.408158,0.00056379,0.023744
0.266366,5.339237,5.409651,0.00063689,0.025237
0.266917,5.340726,5.411140,0.00071429,0.026726
0.267467,5.342212,5.412627,0.00079594,0.028212
0.268018,5.343696,5.414110,0.00088184,0.029696
0.268569,5.345176,5.415590,0.00097194,0.031176
0.269119,5.346653,5.417067,0.00106623,0.032653
0.269670,5.348127,5.418541,0.00116468,0.034127
0.270220,5.349599,5.420013,0.00126726,0.035599
0.270771,5.351067,5.421481,0.00137395,0.037067
0.271321,5.352532,5.422946,0.00148471,0.038532
0.271872,5.353994,5.424408,0.00159954,0.039994
0.272422,5.355454,5.425868,0.00171839,0.041454
0.272973,5.356910,5.427324,0.00184125,0.042910
0.273524,5.358363,5.428777,0.00196810,0.044363
0.274074,5.359814,5.430228,0.00209890,0.045814
0.274625,5.361261,5.431675,0.00223363,0.047261
0.275175,5.362706,5.433120,0.00237227,0.048706
0.275726,5.364148,5.434562,0.00251479,0.050148
0.276276,5.365587,5.436001,0.00266118,0.051587
0.276827,5.367023,5.437437,0.00281140,0.053023
0.277377,5.368456,5.438870,0.00296544,0.054456
0.277928,5.369886,5.440300,0.00312327,0.055886
0.278478,5.371314,5.441728,0.00328486,0.057314
0.279029,5.372738,5.443152,0.00345020,0.058738
0.279580,5.374160,5.444574,0.00361926,0.060160
0.280130,5.375579,5.445993,0.00379202,0.061579
0.280681,5.376996,5.447410,0.00396845,0.062996
0.281231,5.378409,5.448823,0.00414854,0.064409
0.281782,5.379820,5.450234,0.00433227,0.065820
0.282332,5.381228,5.451642,0.00451960,0.067228
0.282883,5.382633,5.453047,0.00471052,0.068633
0.283433,5.384036,5.454450,0.00490501,0.070036
0.283984,5.385436,5.455850,0.00510304,0.071436
0.284535,5.386833,5.457247,0.00530460,0.072833
0.285085,5.388227,5.458641,0.00550966,0.074227
0.285636,5.389619,5.460033,0.00571820,0.075619
0.286186,5.391008,5.461422,0.00593020,0.077008
0.286737,5.392394,5.462808,0.00614564,0.078394
0.287287,5.393778,5.464192,0.00636451,0.079778
0.287838,5.395159,5.465573,0.00658677,0.081159
0.288388,5.396537,5.466951,0.00681241,0.082537
0.288939,5.397913,5.468327,0.00704141,0.083913
0.289489,5.399286,5.469700,0.00727375,0.085286
0.290040,5.400657,5.471071,0.00750941,0.086657
0.290591,5.402025,5.472439,0.00774836,0.088025
0.291141,5.403390,5.473804,0.00799060,0.089390
0.291692,5.404753,5.475167,0.00823609,0.090753
0.292242,5.406113,5.476527,0.00848483,0.092113
0.292793,5.407471,5.477885,0.00873679,0.093471
0.293343,5.408826,5.479240,0.00899195,0.094826
0.293894,5.410178,5.480592,0.00925030,0.096178
0.294444,5.411529,5.481943,0.00951181,0.097529
0.294995,5.412876,5.483290,0.00977647,0.098876
0.295546,5.414221,5.484635,0.01004425,0.100221
0.296096,5.415564,5.485978,0.01031515,0.101564
0.296647,5.416904,5.487318,0.01058913,0.102904
0.297197,5.418241,5.488655,0.01086619,0.104241
0.297748,5.419576,5.489990,0.01114631,0.105576
0.298298,5.420909,5.491323,0.01142946,0.106909
0.298849,5.422239,5.492653,0.01171563,0.108239
0.299399,5.423566,5.493980,0.01200481,0.109566
0.299950,5.424892,5.495306,0.01229696,0.110892
0.300501,5.426214,5.496629,0.01259209,0.112214
0.301051,5.427535,5.497949,0.01289016,0.113535
0.301602,5.428853,5.499267,0.01319117,0.114853
0.302152,5.430168,5.500582,0.01349510,0.116168
0.302703,5.431482,5.501896,0.01380192,0.117482
0.303253,5.432792,5.503206,0.01411162,0.118792
0.303804,5.434101,5.504515,0.01442419,0.120101
0.304354,5.435407,5.505821,0.01473961,0.121407
0.304905,5.436710,5.507124,0.01505786,0.122710
0.305455,5.438012,5.508426,0.01537892,0.124012
0.306006,5.439311,5.509725,0.01570279,0.125311
0.306557,5.440607,5.511021,0.01602944,0.126607
0.307107,5.441902,5.512316,0.01635885,0.127902
0.307658,5.443194,5.513608,0.01669102,0.129194
0.308208,5.444483,5.514897,0.01702592,0.130483
0.308759,5.445771,5.516185,0.01736355,0.131771
0.309309,5.447056,5.517470,0.01770388,0.133056
0.309860,5.448339,5.518753,0.01804689,0.134339
0.310410,5.449619,5.520033,0.01839258,0.135619
0.310961,5.450898,5.521312,0.01874093,0.136898
0.311512,5.452174,5.522588,0.01909192,0.138174
0.312062,5.453447,5.523861,0.01944554,0.139447
0.312613,5.454719,5.525133,0.01980177,0.140719
0.313163,5.455988,5.526402,0.02016060,0.141988
0.313714,5.457255,5.527669,0.02052202,0.143255
0.314264,5.458520,5.528934,0.02088600,0.144520
0.314815,5.459783,5.530197,0.02125254,0.145783
0.315365,5.461043,5.531457,0.02162161,0.147043
0.315916,5.462301,5.532715,0.02199321,0.148301
0.316466,5.463557,5.533971,0.02236733,0.149557
0.317017,5.464811,5.535225,0.02274394,0.150811
0.317568,5.466063,5.536477,0.02312303,0.152063
0.318118,5.467312,5.537726,0.02350459,0.153312
0.318669,5.468559,5.538973,0.02388860,0.154559
0.319219,5.469805,5.540219,0.02427506,0.155805
0.319770,5.471048,5.541462,0.02466394,0.157048
0.320320,5.472288,5.542702,0.02505523,0.158288
0.320871,5.473527,5.543941,0.02544893,0.159527
0.321421,5.474764,5.545178,0.02584501,0.160764
0.321972,5.475998,5.546412,0.02624346,0.161998
0.322523,5.477231,5.547645,0.02664427,0.163231
0.323073,5.478461,5.548875,0.02704743,0.164461
0.323624,5.479689,5.550103,0.02745293,0.165689
0.324174,5.480915,5.551329,0.02786074,0.166915
0.324725,5.482139,5.552553,0.02827086,0.168139
0.325275,5.483361,5.553775,0.02868327,0.169361
0.325826,5.484581,5.554995,0.02909797,0.170581
0.326376,5.485799,5.556213,0.02951493,0.171799
0.326927,5.487015,5.557429,0.02993415,0.173015
0.327477,5.488229,5.558643,0.03035561,0.174229
0.328028,5.489440,5.559854,0.03077931,0.175440
0.328579,5.490650,5.561064,0.03120522,0.176650
0.329129,5.491858,5.562272,0.03163334,0.177858
0.329680,5.493063,5.563477,0.03206365,0.179063
0.330230,5.494267,5.564681,0.03249615,0.180267
0.330781,5.495468,5.565883,0.03293081,0.181468
0.331331,5.496668,5.567082,0.03336764,0.182668
0.331882,5.497866,5.568280,0.03380660,0.183866
0.332432,5.499061,5.569475,0.03424770,0.185061
0.332983,5.500255,5.570669,0.03469093,0.186255
0.333534,5.501447,5.571861,0.03513626,0.187447
0.334084,5.502636,5.573050,0.03558370,0.188636
0.334635,5.503824,5.574238,0.03603322,0.189824
0.335185,5.505010,5.575424,0.03648481,0.191010
0.335736,5.506194,5.576608,0.03693847,0.192194
0.336286,5.507376,5.577790,0.03739418,0.193376
