gamma,mean_n,median_n,chi2,delta_n
0.404004,5.639716,5.710130,0.10609064,0.325716
0.404555,5.640698,5.711112,0.10673153,0.326698
0.405105,5.641679,5.712093,0.10737347,0.327679
0.405656,5.642659,5.713073,0.10801647,0.328659
0.406206,5.643637,5.714051,0.10866050,0.329637
0.406757,5.644614,5.715028,0.10930558,0.330614
0.407307,5.645590,5.716004,0.10995168,0.331590
0.407858,5.646564,5.716978,0.11059882,0.332564
0.408408,5.647537,5.717951,0.11124698,0.333537
0.408959,5.648509,5.718923,0.11189615,0.334509
0.409510,5.649479,5.719893,0.11254633,0.335479
0.410060,5.650448,5.720862,0.11319753,0.336448
0.410611,5.651416,5.721830,0.11384972,0.337416
0.411161,5.652383,5.722797,0.11450291,0.338383
0.411712,5.653348,5.723762,0.11515708,0.339348
0.412262,5.654312,5.724726,0.11581225,0.340312
0.412813,5.655275,5.725689,0.11646839,0.341275
0.413363,5.656236,5.726650,0.11712551,0.342236
0.413914,5.657196,5.727610,0.11778360,0.343196
0.414464,5.658155,5.728569,0.11844266,0.344155
0.415015,5.659113,5.729527,0.11910267,0.345113
0.415566,5.660069,5.730483,0.11976364,0.346069
0.416116,5.661024,5.731438,0.12042556,0.347024
0.416667,5.661978,5.732392,0.12108843,0.347978
0.417217,5.662930,5.733344,0.12175224,0.348930
0.417768,5.663881,5.734295,0.12241698,0.349881
0.418318,5.664831,5.735245,0.12308265,0.350831
0.418869,5.665780,5.736194,0.12374925,0.351780
0.419419,5.666728,5.737142,0.12441677,0.352728
0.419970,5.667674,5.738088,0.12508521,0.353674
0.420521,5.668619,5.739033,0.12575455,0.354619
0.421071,5.669563,5.739977,0.12642481,0.355563
0.421622,5.670505,5.740919,0.12709597,0.356505
0.422172,5.671447,5.741861,0.12776802,0.357447
0.422723,5.672387,5.742801,0.12844097,0.358387
0.423273,5.673325,5.743740,0.12911480,0.359325
0.423824,5.674263,5.744677,0.12978952,0.360263
0.424374,5.675200,5.745614,0.13046512,0.361200
0.424925,5.676135,5.746549,0.13114159,0.362135
0.425475,5.677069,5.747483,0.13181893,0.363069
0.426026,5.678002,5.748416,0.13249714,0.364002
0.426577,5.678933,5.749347,0.13317621,0.364933
0.427127,5.679864,5.750278,0.13385614,0.365864
0.427678,5.680793,5.751207,0.13453691,0.366793
0.428228,5.681721,5.752135,0.13521854,0.367721
0.428779,5.682648,5.753062,0.13590101,0.368648
0.429329,5.683573,5.753987,0.13658431,0.369573
0.429880,5.684498,5.754912,0.13726846,0.370498
0.430430,5.685421,5.755835,0.13795343,0.371421
0.430981,5.686343,5.756757,0.13863923,0.372343
0.431532,5.687264,5.757678,0.13932584,0.373264
0.432082,5.688183,5.758598,0.14001328,0.374183
0.432633,5.689102,5.759516,0.14070153,0.375102
0.433183,5.690019,5.760433,0.14139059,0.376019
0.433734,5.690936,5.761350,0.14208045,0.376936
0.434284,5.691851,5.762265,0.14277112,0.377851
0.434835,5.692765,5.763179,0.14346258,0.378765
0.435385,5.693677,5.764091,0.14415483,0.379677
0.435936,5.694589,5.765003,0.14484787,0.380589
0.436486,5.695499,5.765913,0.14554170,0.381499
0.437037,5.696409,5.766823,0.14623631,0.382409
0.437588,5.697317,5.767731,0.14693169,0.383317
0.438138,5.698224,5.768638,0.14762784,0.384224
0.438689,5.699130,5.769544,0.14832476,0.385130
0.439239,5.700034,5.770448,0.14902245,0.386034
0.439790,5.700938,5.771352,0.14972089,0.386938
0.440340,5.701840,5.772254,0.15042009,0.387840
0.440891,5.702742,5.773156,0.15112005,0.388742
0.441441,5.703642,5.774056,0.15182075,0.389642
0.441992,5.704541,5.774955,0.15252219,0.390541
0.442543,5.705439,5.775853,0.15322438,0.391439
0.443093,5.706336,5.776750,0.15392730,0.392336
0.443644,5.707231,5.777645,0.15463096,0.393231
0.444194,5.708126,5.778540,0.15533535,0.394126
0.444745,5.709020,5.779434,0.15604046,0.395020
0.445295,5.709912,5.780326,0.15674629,0.395912
0.445846,5.710803,5.781217,0.15745284,0.396803
0.446396,5.711693,5.782107,0.15816010,0.397693
0.446947,5.712583,5.782997,0.15886807,0.398583
0.447497,5.713471,5.783885,0.15957675,0.399471
0.448048,5.714358,5.784772,0.16028614,0.400358
0.448599,5.715243,5.785657,0.16099622,0.401243
0.449149,5.716128,5.786542,0.16170700,0.402128
0.449700,5.717012,5.787426,0.16241847,0.403012
0.450250,5.717894,5.788308,0.16313062,0.403894
0.450801,5.718776,5.789190,0.16384347,0.404776
0.451351,5.719656,5.790070,0.16455699,0.405656
0.451902,5.720536,5.790950,0.16527119,0.406536
0.452452,5.721414,5.791828,0.16598607,0.407414
0.453003,5.722291,5.792705,0.16670162,0.408291
0.453554,5.723167,5.793581,0.16741783,0.409167
0.454104,5.724042,5.794456,0.16813471,0.410042
0.454655,5.724916,5.795330,0.16885224,0.410916
0.455205,5.725789,5.796203,0.16957044,0.411789
0.455756,5.726661,5.797075,0.17028928,0.412661
0.456306,5.727532,5.797946,0.17100878,0.413532
0.456857,5.728402,5.798816,0.17172893,0.414402
0.457407,5.729271,5.799685,0.17244971,0.415271
0.457958,5.730138,5.800552,0.17317114,0.416138
0.458509,5.731005,5.801419,0.17389320,0.417005
0.459059,5.731871,5.802285,0.17461590,0.417871
0.459610,5.732735,5.803149,0.17533922,0.418735
0.460160,5.733599,5.804013,0.17606317,0.419599
0.460711,5.734461,5.804875,0.17678775,0.420461
0.461261,5.735323,5.805737,0.17751294,0.421323
0.461812,5.736183,5.806597,0.17823876,0.422183
0.462362,5.737043,5.807457,0.17896518,0.423043
0.462913,5.737901,5.808315,0.17969222,0.423901
0.463463,5.738759,5.809173,0.18041986,0.424759
0.464014,5.739615,5.810029,0.18114811,0.425615
0.464565,5.740470,5.810884,0.18187695,0.426470
0.465115,5.741325,5.811739,0.18260640,0.427325
0.465666,5.742178,5.812592,0.18333643,0.428178
0.466216,5.743030,5.813444,0.18406706,0.429030
0.466767,5.743882,5.814296,0.18479828,0.429882
0.467317,5.744732,5.815146,0.18553009,0.430732
0.467868,5.745581,5.815995,0.18626247,0.431581
0.468418,5.746430,5.816844,0.18699543,0.432430
0.468969,5.747277,5.817691,0.18772897,0.433277
0.469520,5.748123,5.818537,0.18846309,0.434123
0.470070,5.748969,5.819383,0.18919777,0.434969
0.470621,5.749813,5.820227,0.18993302,0.435813
0.471171,5.750656,5.821070,0.19066883,0.436656
0.471722,5.751499,5.821913,0.19140520,0.437499
0.472272,5.752340,5.822754,0.19214213,0.438340
0.472823,5.753181,5.823595,0.19287962,0.439181
0.473373,5.754020,5.824434,0.19361766,0.440020
0.473924,5.754859,5.825273,0.19435624,0.440859
0.474474,5.755696,5.826110,0.19509538,0.441696
0.475025,5.756533,5.826947,0.19583505,0.442533
0.475576,5.757368,5.827782,0.19657527,0.443368
0.476126,5.758203,5.828617,0.19731602,0.444203
0.476677,5.759036,5.829450,0.19805731,0.445036
0.477227,5.759869,5.830283,0.19879913,0.445869
0.477778,5.760701,5.831115,0.19954148,0.446701
0.478328,5.761531,5.831945,0.20028436,0.447531
0.478879,5.762361,5.832775,0.20102775,0.448361
0.479429,5.763190,5.833604,0.20177167,0.449190
0.479980,5.764018,5.834432,0.20251611,0.450018
0.480531,5.764845,5.835259,0.20326106,0.450845
0.481081,5.765671,5.836085,0.20400653,0.451671
0.481632,5.766496,5.836910,0.20475250,0.452496
0.482182,5.767320,5.837734,0.20549898,0.453320
0.482733,5.768143,5.838557,0.20624597,0.454143
0.483283,5.768965,5.839379,0.20699345,0.454965
0.483834,5.769787,5.840201,0.20774144,0.455787
0.484384,5.770607,5.841021,0.20848992,0.456607
0.484935,5.771426,5.841840,0.20923889,0.457426
0.485485,5.772245,5.842659,0.20998836,0.458245
