catalog,n,beta_mean,beta_std,ci95_lo,ci95_hi,sigma_from_1
GWTC-2.1,51,0.88502,0.15293,0.83718,0.92081,-5.316
GWTC-3,30,0.89038,0.14911,0.83176,0.93335,-3.959
