event,catalog,wf_key,n_samples,erad_field,median_M,median_E,median_n_your_K0,std_n_your_K0,delta_from_pred,in_bbh_band
GW230708_053705,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15934,radiated_energy_non_evolved,51.9629,2.536101,5.383663,0.074190,0.069663,1
GW230708_230935,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14977,radiated_energy_non_evolved,103.7964,4.436636,5.291363,0.169230,-0.022637,1
GW230709_122727,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,12263,radiated_energy_non_evolved,75.1400,3.519005,5.354226,0.168621,0.040226,1
GW230712_090405,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,26163,radiated_energy_non_evolved,43.9833,1.322260,5.088518,0.279950,-0.225482,1
GW230723_101834,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15000,radiated_energy_non_evolved,27.7103,1.086770,5.248317,0.108581,-0.065683,1
GW230726_002940,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13791,radiated_energy_non_evolved,63.3806,2.920378,5.343247,0.067661,0.029247,1
GW230729_082317,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,12605,radiated_energy_non_evolved,20.4058,0.895776,5.334488,0.147591,0.020488,1
GW230731_215307,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,10904,radiated_energy_non_evolved,18.2391,0.813447,5.327560,0.047834,0.013560,1
GW230803_033412,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16784,radiated_energy_non_evolved,76.1055,3.394237,5.334076,0.150105,0.020076,1
GW230805_034249,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16941,radiated_energy_non_evolved,56.7290,2.522610,5.333386,0.154833,0.019386,1
GW230806_204041,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14235,radiated_energy_non_evolved,85.1538,4.030399,5.362558,0.134656,0.048558,1
GW230811_032116,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,17874,radiated_energy_non_evolved,57.9945,2.520695,5.305687,0.097788,-0.008313,1
GW230814_061920,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13478,radiated_energy_non_evolved,112.1141,4.989012,5.316066,0.132483,0.002066,1
GW230814_230901,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13460,radiated_energy_non_evolved,62.0258,2.936257,5.359347,0.018523,0.045347,1
GW230819_171910,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15680,radiated_energy_non_evolved,110.4179,3.786705,5.145189,0.307321,-0.168811,1
GW230820_212515,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15759,radiated_energy_non_evolved,96.1931,4.172621,5.315780,0.301789,0.001780,1
GW230824_033047,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13206,radiated_energy_non_evolved,88.2440,3.928590,5.323250,0.137219,0.009250,1
GW230825_041334,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13826,radiated_energy_non_evolved,70.6391,3.822587,5.469486,0.142996,0.155486,1
GW230831_015414,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14508,radiated_energy_non_evolved,73.7716,3.413451,5.353174,0.127806,0.039174,1
GW230904_051013,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15560,radiated_energy_non_evolved,17.9681,0.808646,5.339588,0.084157,0.025588,1
GW230911_195324,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,18595,radiated_energy_non_evolved,56.1018,2.295458,5.257572,0.118628,-0.056428,1
GW230914_111401,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,18353,radiated_energy_non_evolved,95.8127,4.426144,5.338467,0.138934,0.024467,1
GW230919_215712,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15670,radiated_energy_non_evolved,49.3160,2.541577,5.426815,0.048694,0.112815,1
GW230920_071124,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15199,radiated_energy_non_evolved,56.4734,2.567052,5.340251,0.100858,0.026251,1
GW230922_020344,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,19000,radiated_energy_non_evolved,70.6111,3.237522,5.342605,0.078205,0.028605,1
GW230922_040658,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14201,radiated_energy_non_evolved,124.6904,6.624973,5.445912,0.227366,0.131912,1
GW230924_124453,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14630,radiated_energy_non_evolved,51.7546,2.457785,5.363000,0.052697,0.049000,1
GW230927_043729,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13148,radiated_energy_non_evolved,62.4715,2.924139,5.353703,0.071947,0.039703,1
GW230927_153832,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14161,radiated_energy_non_evolved,38.5156,1.808582,5.357027,0.037012,0.043027,1
GW230928_215827,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,19357,radiated_energy_non_evolved,87.6395,4.960795,5.500814,0.164218,0.186814,1
GW230930_110730,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,11732,radiated_energy_non_evolved,58.9969,2.699682,5.344150,0.114664,0.030150,1
GW231001_140220,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16041,radiated_energy_non_evolved,116.3280,4.443748,5.210043,0.184428,-0.103957,1
GW231004_232346,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15804,radiated_energy_non_evolved,101.6706,3.804578,5.201309,0.189236,-0.112691,1
GW231005_021030,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13730,radiated_energy_non_evolved,131.5903,5.804894,5.318154,0.187800,0.004154,1
GW231005_091549,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,12902,radiated_energy_non_evolved,50.6423,2.245955,5.324464,0.107263,0.010464,1
GW231008_142521,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16800,radiated_energy_non_evolved,71.2554,2.838644,5.254755,0.184567,-0.059245,1
GW231014_040532,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16903,radiated_energy_non_evolved,35.8834,1.768305,5.396677,0.136715,0.082677,1
GW231018_233037,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15611,radiated_energy_non_evolved,19.0923,0.814423,5.299621,0.110296,-0.014379,1
GW231020_142947,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14942,radiated_energy_non_evolved,19.8618,0.883133,5.345117,0.155377,0.031117,1
GW231028_153006,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15128,radiated_energy_non_evolved,152.9012,9.876899,5.586161,0.129414,0.272161,1
GW231029_111508,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13488,radiated_energy_non_evolved,106.0689,4.979363,5.356563,0.161176,0.042563,1
GW231102_071736,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15330,radiated_energy_non_evolved,104.6520,4.984596,5.363910,0.093358,0.049910,1
GW231104_133418,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13042,radiated_energy_non_evolved,21.0329,1.013863,5.388358,0.071933,0.074358,1
GW231108_125142,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16031,radiated_energy_non_evolved,40.6547,1.789190,5.310921,0.047909,-0.003079,1
GW231110_040320,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16586,radiated_energy_non_evolved,32.5224,1.535772,5.369903,0.083976,0.055903,1
GW231113_122623,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,17278,radiated_energy_non_evolved,68.2932,3.799614,5.492006,0.161844,0.178006,1
GW231113_200417,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13984,radiated_energy_non_evolved,19.1418,0.891178,5.365484,0.087617,0.051484,1
GW231114_043211,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,17986,radiated_energy_non_evolved,31.5127,0.990379,5.070395,0.150130,-0.243605,1
GW231118_005626,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,17887,radiated_energy_non_evolved,31.8307,1.610316,5.412925,0.114888,0.098925,1
GW231118_071402,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15567,radiated_energy_non_evolved,73.8933,3.565290,5.381517,0.139939,0.067517,1
GW231118_090602,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,17286,radiated_energy_non_evolved,21.2289,0.848435,5.258981,0.266066,-0.055019,1
GW231119_075248,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14216,radiated_energy_non_evolved,82.3292,3.642114,5.327030,0.151206,0.013030,1
GW231123_135430,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,19980,radiated_energy,243.2756,10.536178,5.295632,0.076309,-0.018368,1
GW231127_165300,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14592,radiated_energy_non_evolved,74.4822,3.211198,5.306151,0.189975,-0.007849,1
GW231129_081745,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14785,radiated_energy_non_evolved,69.5676,2.833439,5.262851,0.160432,-0.051149,1
GW231206_233134,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13230,radiated_energy_non_evolved,62.6127,2.800649,5.318057,0.072231,0.004057,1
GW231206_233901,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15034,radiated_energy_non_evolved,66.5665,3.031455,5.336879,0.064414,0.022879,1
GW231213_111417,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14380,radiated_energy_non_evolved,62.6177,3.046352,5.380450,0.090399,0.066450,1
GW231221_135041,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16198,radiated_energy_non_evolved,77.2580,3.272726,5.298776,0.200763,-0.015224,1
GW231223_032836,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15011,radiated_energy_non_evolved,77.5766,3.076494,5.239681,0.168709,-0.074319,1
GW231223_075055,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,18392,radiated_energy_non_evolved,19.0328,0.802738,5.290898,0.137728,-0.023102,1
GW231223_202619,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13892,radiated_energy_non_evolved,19.7013,0.943920,5.378326,0.068186,0.064326,1
GW231224_024321,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,16775,radiated_energy_non_evolved,16.6908,0.769863,5.348360,0.037430,0.034360,1
GW231226_101520,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15030,radiated_energy_non_evolved,75.1941,3.459888,5.339225,0.025818,0.025225,1
GW231230_170116,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15694,radiated_energy_non_evolved,87.7908,3.406922,5.228889,0.183042,-0.085111,1
GW231231_154016,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,13245,radiated_energy_non_evolved,40.0007,1.805571,5.331444,0.045915,0.017444,1
GW240104_164932,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,14325,radiated_energy_non_evolved,75.2684,3.754233,5.399058,0.080537,0.085058,1
GW240107_013215,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,18048,radiated_energy_non_evolved,89.5545,4.213732,5.370128,0.282262,0.056128,1
GW240109_050431,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,15285,radiated_energy_non_evolved,47.2990,1.924757,5.257721,0.086003,-0.056279,1
