event,catalog,wf_key,n_samples,erad_field,median_M,median_E,median_n_your_K0,std_n_your_K0,delta_from_pred,in_bbh_band
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,150207,radiated_energy,100.1684,5.418919,5.453201,0.124368,0.139201,1
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,24545,radiated_energy,153.1475,5.910511,5.206515,0.273140,-0.107485,1
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,148527,radiated_energy,149.1713,6.471710,5.305940,0.219858,-0.008060,1
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,104558,radiated_energy,77.3377,3.739307,5.376161,0.049427,0.062161,1
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,210737,radiated_energy,76.6533,3.698737,5.374738,0.050558,0.060738,1
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,28052,radiated_energy,59.5505,2.555659,5.312539,0.265090,-0.001461,1
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,141653,radiated_energy,59.0755,2.672097,5.342684,0.233143,0.028684,1
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,34581,radiated_energy,115.6461,5.330857,5.340856,0.181177,0.026856,1
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,155451,radiated_energy,113.3806,5.411037,5.367260,0.165953,0.053260,1
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,32655,radiated_energy,90.6749,4.506849,5.405018,0.255465,0.091018,1
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,152410,radiated_energy,88.8469,4.633321,5.439605,0.214965,0.125605,1
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,87638,radiated_energy,59.3298,2.809929,5.368410,0.081258,0.054410,1
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,171387,radiated_energy,58.8757,2.773107,5.365509,0.082540,0.051509,1
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,54580,radiated_energy,93.6781,4.045529,5.295890,0.106625,-0.018110,1
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,160160,radiated_energy,93.2884,4.067750,5.302174,0.101025,-0.011826,1
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,23977,radiated_energy,112.6867,5.395183,5.367607,0.216754,0.053607,1
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,159868,radiated_energy,107.3694,5.449673,5.409465,0.192508,0.095465,1
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,203490,radiated_energy,20.0104,0.874550,5.310856,0.060051,-0.003144,1
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,367463,radiated_energy,19.8959,0.869654,5.310598,0.061790,-0.003402,1
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,51021,radiated_energy,30.7827,1.400312,5.341812,0.066382,0.027812,1
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,94772,radiated_energy,30.6395,1.393163,5.341266,0.066952,0.027266,1
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,20708,radiated_energy,57.1791,2.605560,5.364564,0.291803,0.050564,1
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,153538,radiated_energy,55.3494,2.674426,5.397789,0.258313,0.083789,1
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,86699,radiated_energy,21.7909,0.978587,5.328957,0.126499,0.014957,1
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,131644,radiated_energy,21.6999,0.973136,5.328428,0.127103,0.014428,1
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,79206,radiated_energy,18.3061,0.707817,5.223814,0.222924,-0.090186,1
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,170198,radiated_energy,18.1626,0.700820,5.222000,0.223477,-0.092000,1
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,38894,radiated_energy,68.6250,3.347490,5.381212,0.110366,0.067212,1
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,162922,radiated_energy,67.8058,3.334863,5.387818,0.101830,0.073818,1
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,11485,radiated_energy,20.9488,0.952940,5.343011,0.172984,0.029011,1
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,20000,radiated_energy,20.8066,0.947693,5.344084,0.176106,0.030084,1
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,21267,radiated_energy,69.3111,3.191968,5.348038,0.132550,0.034038,1
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,126255,radiated_energy,66.3946,3.148878,5.365208,0.123012,0.051208,1
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,20574,radiated_energy,65.0001,2.936074,5.331141,0.113238,0.017141,1
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,101656,radiated_energy,63.5518,2.912660,5.340753,0.105032,0.026753,1
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,11786,radiated_energy,75.4035,4.326142,5.499850,0.177256,0.185850,1
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,169040,radiated_energy,71.0053,4.210607,5.523785,0.153015,0.209785,1
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,78254,radiated_energy,25.9061,0.241885,4.188806,0.040036,-1.125194,0
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,89500,radiated_energy,25.9032,0.241832,4.188698,0.040047,-1.125302,0
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,42966,radiated_energy,57.2082,2.960947,5.423375,0.060526,0.109375,1
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,128000,radiated_energy,56.6258,2.937818,5.425386,0.060339,0.111386,1
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,71723,radiated_energy,34.2533,1.248916,5.176784,0.127938,-0.137216,1
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,181548,radiated_energy,33.8208,1.236362,5.178312,0.127833,-0.135688,1
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,54830,radiated_energy,76.6920,3.546590,5.346671,0.068759,0.032671,1
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,159609,radiated_energy,75.1330,3.497310,5.350029,0.068156,0.036029,1
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,50133,radiated_energy,56.6538,2.549652,5.328426,0.084057,0.014426,1
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,144305,radiated_energy,56.1627,2.542803,5.332444,0.081487,0.018444,1
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,13058,radiated_energy,68.0116,3.005721,5.345254,0.262675,0.031254,1
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,107199,radiated_energy,65.7998,3.193839,5.402705,0.222557,0.088705,1
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,12312,radiated_energy,11.7631,0.212220,4.661892,0.215110,-0.652108,1
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,20000,radiated_energy,11.7119,0.211094,4.660182,0.212879,-0.653818,1
GW190924_021846,GWTC-2.1,C01:IMRPhenomXPHM,32797,radiated_energy,14.2941,0.573147,5.242714,0.166698,-0.071286,1
GW190924_021846,GWTC-2.1,C01:IMRPhenomXPHM,46372,radiated_energy,14.2604,0.571780,5.242471,0.168668,-0.071529,1
GW190925_232845,GWTC-2.1,C01:IMRPhenomXPHM,87963,radiated_energy,36.8282,1.735438,5.364047,0.091030,0.050047,1
GW190925_232845,GWTC-2.1,C01:IMRPhenomXPHM,164960,radiated_energy,36.6711,1.729426,5.364607,0.091483,0.050607,1
GW190926_050336,GWTC-2.1,C01:IMRPhenomXPHM,20327,radiated_energy,61.6623,2.298185,5.203975,0.223486,-0.110025,1
GW190926_050336,GWTC-2.1,C01:IMRPhenomXPHM,157760,radiated_energy,59.0562,2.383331,5.261412,0.197737,-0.052588,1
GW190929_012149,GWTC-2.1,C01:IMRPhenomXPHM,30749,radiated_energy,93.3076,3.052415,5.095801,0.238233,-0.218199,1
GW190929_012149,GWTC-2.1,C01:IMRPhenomXPHM,153782,radiated_energy,90.0049,3.131423,5.144256,0.218704,-0.169744,1
GW190930_133541,GWTC-2.1,C01:IMRPhenomXPHM,80472,radiated_energy,20.4197,0.936000,5.348292,0.171579,0.034292,1
GW190930_133541,GWTC-2.1,C01:IMRPhenomXPHM,137344,radiated_energy,20.3281,0.931307,5.347949,0.174768,0.033949,1
GW191103_012549,GWTC-3,C01:IMRPhenomXPHM,9914,radiated_energy,20.0274,0.970541,5.396911,0.126876,0.082911,1
GW191103_012549,GWTC-3,C01:IMRPhenomXPHM,167837,radiated_energy,19.8657,0.961363,5.394473,0.130190,0.080473,1
GW191105_143521,GWTC-3,C01:IMRPhenomXPHM,65529,radiated_energy,18.5278,0.810248,5.314576,0.088906,0.000576,1
GW191105_143521,GWTC-3,C01:IMRPhenomXPHM,142741,radiated_energy,18.4113,0.804400,5.313739,0.089879,-0.000261,1
GW191109_010717,GWTC-3,C01:IMRPhenomXPHM,109061,radiated_energy,111.3630,4.270580,5.216556,0.135030,-0.097444,1
GW191109_010717,GWTC-3,C01:IMRPhenomXPHM,270070,radiated_energy,108.7483,4.210953,5.224662,0.130030,-0.089338,1
GW191113_071753,GWTC-3,C01:IMRPhenomXPHM,52362,radiated_energy,35.5730,0.595117,4.606519,0.294563,-0.707481,1
GW191113_071753,GWTC-3,C01:IMRPhenomXPHM,129899,radiated_energy,34.3837,0.607634,4.642221,0.321573,-0.671779,1
GW191126_115259,GWTC-3,C01:IMRPhenomXPHM,55315,radiated_energy,20.5602,1.014375,5.403553,0.101746,0.089553,1
GW191126_115259,GWTC-3,C01:IMRPhenomXPHM,158918,radiated_energy,20.2869,1.000671,5.402868,0.104767,0.088868,1
GW191127_050227,GWTC-3,C01:IMRPhenomXPHM,27156,radiated_energy,84.7759,2.766827,5.137021,0.466585,-0.176979,1
