event,catalog,waveform,strat,n_sph,n_car_schw,n_car_kerr,med_eta,log2_eta,med_chi,e_chi2,beta_mc,med_a_f,dn_kerr,med_dn_kerr,M_total,med_q,med_z,in_band
GW231005_021030,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.317988,138.671841,139.980214,0.231991,-2.10786,0.11233,0.059978,0.880044,0.724906,1.308372,1.187675,131.5903,0.5768,0.939,1
GW231005_091549,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.324195,137.294203,138.460544,0.245876,-2.023995,-0.038425,0.023047,0.953906,0.676294,1.166341,1.165097,50.6423,0.7724,0.5938,1
GW231008_142521,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.254499,137.786859,138.88295,0.230967,-2.114239,-0.025243,0.022363,0.955275,0.650077,1.09609,1.14546,71.2554,0.5675,0.4817,1
GW231014_040532,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.396424,136.797178,138.191255,0.243165,-2.039995,0.181278,0.05586,0.888279,0.751555,1.394077,1.272499,35.8834,0.7162,0.3994,1
GW231018_233037,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.299404,135.886854,137.04002,0.236544,-2.079821,0.014775,0.009188,0.981625,0.67149,1.153166,1.109785,19.0923,0.6234,0.2877,1
GW231020_142947,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.344919,135.943856,137.222308,0.235055,-2.08893,0.151159,0.043661,0.912677,0.715137,1.278452,1.281942,19.8618,0.6071,0.2383,1
GW231028_153006,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.5859,138.888388,140.704215,0.242203,-2.045712,0.49569,0.250419,0.499161,0.856757,1.815827,1.731481,152.9012,0.6998,0.7177,1
GW231029_111508,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.356299,138.36079,139.666632,0.236522,-2.079951,0.145284,0.041772,0.916456,0.724089,1.305843,1.264183,106.0689,0.6231,0.5145,1
GW231102_071736,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.363654,138.341388,139.602354,0.242513,-2.043869,0.074049,0.019582,0.960835,0.709313,1.260966,1.235407,104.652,0.7049,0.5985,1
GW231104_133418,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.388139,136.026507,137.336119,0.24254,-2.043706,0.145526,0.026367,0.947265,0.725305,1.309612,1.309981,21.0329,0.7054,0.2781,1
GW231108_125142,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.31068,136.977283,138.105291,0.24505,-2.028853,-0.076253,0.012383,0.975233,0.662173,1.128008,1.128021,40.6547,0.7533,0.3717,1
GW231110_040320,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.369673,136.655294,137.998854,0.236441,-2.080448,0.174636,0.036001,0.927998,0.736083,1.343561,1.349476,32.5224,0.6222,0.3393,1
GW231113_122623,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.491743,137.725602,139.360192,0.240907,-2.053452,0.364821,0.148738,0.702525,0.816494,1.63459,1.422316,68.2932,0.6797,0.5524,1
GW231113_200417,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.36529,135.890585,137.186746,0.239402,-2.062493,0.125309,0.022627,0.954745,0.720949,1.296161,1.289182,19.1418,0.6585,0.224,1
GW231114_043211,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.070178,136.609793,137.601783,0.192824,-2.374647,0.090967,0.021987,0.956025,0.608418,0.99199,1.062067,31.5127,0.353,0.2551,1
GW231118_005626,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.412667,136.624277,138.249607,0.220888,-2.178611,0.392856,0.157454,0.685093,0.814246,1.62533,1.597841,31.8307,0.4912,0.3789,1
GW231118_071402,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.381256,137.839303,139.170918,0.243035,-2.040764,0.127769,0.044648,0.910704,0.732326,1.331615,1.31075,73.8933,0.7139,0.6598,1
GW231118_090602,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.258801,136.039893,137.274949,0.220748,-2.179529,0.11951,0.060212,0.879576,0.700527,1.235057,1.212094,21.2289,0.4902,0.262,1
GW231119_075248,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.326772,137.995264,139.185066,0.243913,-2.035563,-0.000486,0.027941,0.944117,0.684722,1.189802,1.199279,82.3292,0.73,0.9702,1
GW231123_135430,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source,5.295662,139.55838,140.816717,0.236444,-2.080428,0.03907,0.013708,0.972584,0.708431,1.258337,1.120598,243.2756,0.6222,0.1712,1
GW231127_165300,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.305897,137.850756,139.055747,0.236083,-2.082632,0.040635,0.036807,0.926387,0.690092,1.204991,1.184071,74.4822,0.6182,0.6912,1
GW231129_081745,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.262584,137.752276,138.889878,0.227185,-2.138058,0.027397,0.02336,0.953281,0.665749,1.137602,1.190412,69.5676,0.536,0.5956,1
GW231206_233134,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.317787,137.600315,138.746893,0.247394,-2.015117,-0.090064,0.027235,0.94553,0.669069,1.146578,1.147363,62.6127,0.8147,0.5452,1
GW231206_233901,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.336658,137.688657,138.88431,0.245883,-2.023958,-0.029252,0.00748,0.98504,0.686799,1.195654,1.171891,66.5665,0.7725,0.2811,1
GW231213_111417,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.380196,137.60043,138.897163,0.24672,-2.019053,0.076699,0.024746,0.950508,0.721134,1.296732,1.269561,62.6177,0.7945,0.6546,1
GW231221_135041,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.298569,137.903545,139.147889,0.23799,-2.071028,0.03933,0.057907,0.884186,0.703698,1.244344,1.149267,77.258,0.6404,0.7017,1
GW231223_032836,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.239425,137.909481,138.956582,0.242175,-2.045877,-0.161592,0.074438,0.851124,0.6309,1.047102,1.106734,77.5766,0.6994,0.6415,1
GW231223_075055,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.290732,135.882346,137.101709,0.230398,-2.117799,0.072083,0.018654,0.962692,0.695113,1.219363,1.195274,19.0328,0.5625,0.1914,1
GW231223_202619,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.378161,135.932153,137.212753,0.24475,-2.030618,0.104971,0.017811,0.964377,0.715847,1.280601,1.2638,19.7013,0.7469,0.1776,1
GW231224_024321,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.348177,135.69291,136.884605,0.246283,-2.021609,-0.005159,0.001586,0.996828,0.685395,1.191695,1.177655,16.6908,0.7826,0.1883,1
GW231226_101520,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.339032,137.86448,139.025907,0.248945,-2.006103,-0.073805,0.007762,0.984476,0.674509,1.161428,1.151954,75.1941,0.878,0.2278,1
GW231230_170116,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.228653,138.08793,139.086642,0.242363,-2.044761,-0.216677,0.088637,0.822727,0.611213,0.998712,1.055598,87.7908,0.7024,0.8681,1
GW231231_154016,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.33127,136.953885,138.110056,0.245594,-2.02565,-0.028649,0.005346,0.989308,0.67259,1.156171,1.158038,40.0007,0.7656,0.2087,1
GW240104_164932,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.398803,137.865905,139.245634,0.246121,-2.022563,0.125542,0.027053,0.945894,0.747228,1.379729,1.291049,75.2684,0.7785,0.3506,1
GW240107_013215,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.369864,138.116626,139.645411,0.221972,-2.171551,0.338748,0.143914,0.712173,0.789638,1.528786,1.349094,89.5545,0.4983,0.8746,1
GW240109_050431,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total-final_mass_source_non_evolved,5.257511,137.19567,138.259335,0.235961,-2.08338,-0.07599,0.021558,0.956883,0.637468,1.063665,1.117893,47.299,0.6168,0.2758,1
