targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39089837550195871,DESI-COSMOS-v2.0,148.805787,2.549794,0.434348,0.000006,GALAXY,,,1712.45
39089837550205899,DESI-COSMOS-v2.0,148.782734,2.480419,0.846680,0.000022,GALAXY,,,2992.84
39089837550195705,DESI-COSMOS-v2.0,148.692596,2.594007,0.534236,0.000015,GALAXY,,,2051.84
39089837550199657,DESI-COSMOS-v2.0,148.870028,2.344536,0.000080,0.000008,STAR,,,0.00
39089837550205067,DESI-COSMOS-v2.0,148.828766,2.335470,0.311785,0.000016,GALAXY,,,1270.85
39089837550200812,DESI-COSMOS-v2.0,148.812626,2.414113,1.671719,0.000007,GALAXY,,,4795.59
39089837550202292,DESI-COSMOS-v2.0,148.720590,2.582005,0.123873,0.000002,GALAXY,,,529.31
39089837550197621,DESI-COSMOS-v2.0,148.769081,2.426413,0.529592,0.000018,GALAXY,,,2038.65
39089837550209545,DESI-COSMOS-v2.0,148.794494,2.331435,0.854453,0.000024,GALAXY,,,3011.94
39089837550197163,DESI-COSMOS-v2.0,148.744483,2.611337,0.602906,0.000014,GALAXY,,,2274.61
39089837550201170,DESI-COSMOS-v2.0,148.724344,2.105364,0.748165,0.000049,GALAXY,,,2713.94
39089837550211733,DESI-COSMOS-v2.0,148.673214,2.106895,1.011347,0.000072,GALAXY,,,3420.49
39089837550214045,DESI-COSMOS-v2.0,148.685630,2.100364,1.291184,0.000059,GALAXY,,,4063.70
39089837550207363,DESI-COSMOS-v2.0,148.626948,2.384099,0.300084,0.000018,GALAXY,,,1225.74
39089837550206749,DESI-COSMOS-v2.0,148.750284,2.165320,0.797515,0.000047,GALAXY,,,2856.85
39089837550207356,DESI-COSMOS-v2.0,148.647625,2.068530,0.748241,0.000046,GALAXY,,,2713.94
39089837550196958,DESI-COSMOS-v2.0,148.904014,2.499310,0.427600,0.000024,GALAXY,,,1691.45
39089837550197805,DESI-COSMOS-v2.0,149.005118,2.424470,0.000413,0.000007,STAR,,,0.00
39089837550195475,DESI-COSMOS-v2.0,148.918862,2.321715,0.422109,0.000004,GALAXY,,,1670.37
39089837550205441,DESI-COSMOS-v2.0,148.916264,2.482425,0.702031,0.000047,GALAXY,,,2578.66
39089837550205736,DESI-COSMOS-v2.0,148.941977,2.378594,0.152151,0.000009,GALAXY,,,644.46
39089837550206788,DESI-COSMOS-v2.0,148.927907,2.406312,0.119762,0.000030,GALAXY,,,512.72
39089837550195879,DESI-COSMOS-v2.0,148.974951,2.402896,1.231371,0.000073,GALAXY,,,3934.24
39089837550195031,DESI-COSMOS-v2.0,148.780289,2.196134,0.219043,0.000020,GALAXY,,,913.32
39089837550205838,DESI-COSMOS-v2.0,148.669938,2.415589,1.037292,0.000057,GALAXY,,,3484.62
39089837550197472,DESI-COSMOS-v2.0,148.856690,2.239405,0.426884,0.000022,GALAXY,,,1687.94
39089837550204471,DESI-COSMOS-v2.0,148.803377,2.227890,0.375785,0.000008,GALAXY,,,1506.35
39089837550199006,DESI-COSMOS-v2.0,148.692054,2.461653,0.538704,0.000016,GALAXY,,,2068.29
39089837550210444,DESI-COSMOS-v2.0,148.646169,2.589641,0.733833,0.000033,GALAXY,,,2673.16
39089837550214490,DESI-COSMOS-v2.0,148.640490,2.476091,0.437727,0.000014,GALAXY,,,1726.41
39089837550200779,DESI-COSMOS-v2.0,148.606745,2.488647,0.734140,0.000011,GALAXY,,,2673.16
39089837550199127,DESI-COSMOS-v2.0,148.667219,2.595995,0.311329,0.000005,GALAXY,,,1267.10
39089837550212415,DESI-COSMOS-v2.0,148.585354,2.405093,0.594535,0.000047,GALAXY,,,2249.24
39089837550202544,DESI-COSMOS-v2.0,148.656951,2.701421,1.503401,0.000151,GALAXY,,,4488.86
39089837550203485,DESI-COSMOS-v2.0,148.780091,2.259039,0.122854,0.000007,GALAXY,,,525.17
39089837550214179,DESI-COSMOS-v2.0,148.636813,2.426087,0.748173,0.000018,GALAXY,,,2713.94
39089837550213806,DESI-COSMOS-v2.0,148.685163,2.691326,0.849239,0.000029,GALAXY,,,2998.30
39089837550198825,DESI-COSMOS-v2.0,148.747128,2.652068,0.677459,0.000016,GALAXY,,,2503.56
39089837550206082,DESI-COSMOS-v2.0,148.801276,2.397271,1.383756,0.000064,GALAXY,,,4256.15
39089837550210514,DESI-COSMOS-v2.0,148.737383,2.625999,0.804334,0.000046,GALAXY,,,2873.71
39089837550207342,DESI-COSMOS-v2.0,148.749307,2.408561,0.425300,0.000016,GALAXY,,,1680.92
39089837550196370,DESI-COSMOS-v2.0,148.882557,2.386723,0.030920,0.000003,GALAXY,,,135.24
39089837550205956,DESI-COSMOS-v2.0,148.734428,2.440028,0.660860,0.000009,GALAXY,,,2454.91
39089837550210402,DESI-COSMOS-v2.0,148.825827,2.522280,0.667484,0.000014,GALAXY,,,2473.21
39089837550211901,DESI-COSMOS-v2.0,148.818887,2.553072,1.033214,0.000064,GALAXY,,,3474.82
39089837550205297,DESI-COSMOS-v2.0,148.808899,2.485318,0.340723,0.000005,GALAXY,,,1378.61
39089837550197852,DESI-COSMOS-v2.0,148.895749,2.326218,0.315202,0.000041,GALAXY,,,1282.08
39089837550199145,DESI-COSMOS-v2.0,148.761224,2.368160,0.181744,0.000007,GALAXY,,,766.01
39089837550201756,DESI-COSMOS-v2.0,148.838991,2.403206,1.034269,0.000039,GALAXY,,,3477.27
39089837550212067,DESI-COSMOS-v2.0,148.806091,2.444868,0.428123,0.000011,GALAXY,,,1691.45
39089837550200527,DESI-COSMOS-v2.0,148.687040,2.112832,0.927243,0.000066,GALAXY,,,3206.58
39089837550195444,DESI-COSMOS-v2.0,148.716377,2.142150,0.312583,0.000005,GALAXY,,,1274.59
39089837550205868,DESI-COSMOS-v2.0,148.760567,2.164914,0.824094,0.000012,GALAXY,,,2929.50
39089837550207029,DESI-COSMOS-v2.0,148.682253,2.097420,0.888434,0.000041,GALAXY,,,3103.64
39089837550204571,DESI-COSMOS-v2.0,148.925445,2.292345,1.048197,0.000048,GALAXY,,,3511.46
39089837550212534,DESI-COSMOS-v2.0,149.024343,2.361416,0.000923,0.000050,STAR,,,4.39
39089837550196267,DESI-COSMOS-v2.0,148.999044,2.374791,0.098798,0.000022,GALAXY,,,425.12
39089837550199767,DESI-COSMOS-v2.0,148.977508,2.424742,1.390731,0.000132,GALAXY,,,4270.25
39089837550210226,DESI-COSMOS-v2.0,148.990500,2.353090,0.302973,0.000011,GALAXY,,,1237.04
39089837550210308,DESI-COSMOS-v2.0,148.989873,2.406026,0.724676,0.000025,GALAXY,,,2646.76
39089837550197444,DESI-COSMOS-v2.0,148.807622,2.178865,1.413808,0.000080,GALAXY,,,4316.21
39089837550198414,DESI-COSMOS-v2.0,148.884536,2.279170,0.742334,0.000022,GALAXY,,,2696.50
39089837550197378,DESI-COSMOS-v2.0,148.684140,2.424908,0.316113,0.000014,GALAXY,,,1285.81
39089837550210156,DESI-COSMOS-v2.0,148.825623,2.254853,0.089740,0.000015,GALAXY,,,387.29
39089837550202357,DESI-COSMOS-v2.0,148.728070,2.477719,0.023728,0.000067,GALAXY,,,104.87
39089837550205673,DESI-COSMOS-v2.0,148.800604,2.229722,0.221258,0.000003,GALAXY,,,921.20
39089837550203207,DESI-COSMOS-v2.0,148.862852,2.251506,0.091840,0.000003,GALAXY,,,395.71
39089837550204265,DESI-COSMOS-v2.0,148.618182,2.433270,0.000246,0.000032,STAR,,,0.00
39089837550204590,DESI-COSMOS-v2.0,148.653856,2.578737,1.499401,0.000114,GALAXY,,,4481.27
39089837550214024,DESI-COSMOS-v2.0,148.696340,2.469793,1.175203,0.000074,GALAXY,,,3809.46
39089837550211524,DESI-COSMOS-v2.0,148.724938,2.576886,1.475631,0.000067,GALAXY,,,4437.33
39089837550198320,DESI-COSMOS-v2.0,148.610789,2.395989,0.659035,0.000033,GALAXY,,,2448.80
39089837550205004,DESI-COSMOS-v2.0,148.809143,2.288738,0.181689,0.000018,GALAXY,,,766.01
39089837550207949,DESI-COSMOS-v2.0,148.686195,2.450861,0.313332,0.000020,GALAXY,,,1274.59
39089837550198924,DESI-COSMOS-v2.0,148.819084,2.371980,0.698956,0.000026,GALAXY,,,2569.71
39089837550210437,DESI-COSMOS-v2.0,148.796097,2.537117,0.745443,0.000026,GALAXY,,,2705.23
39089837550204997,DESI-COSMOS-v2.0,148.773626,2.624366,1.255919,0.000109,GALAXY,,,3988.70
39089837550210110,DESI-COSMOS-v2.0,148.892667,2.441058,1.119447,0.000038,GALAXY,,,3680.71
39089837550203947,DESI-COSMOS-v2.0,148.860720,2.454216,0.432393,0.000018,GALAXY,,,1705.46
39089837550201252,DESI-COSMOS-v2.0,148.824476,2.579919,1.001479,0.000106,GALAXY,,,3395.57
39089837550204541,DESI-COSMOS-v2.0,148.695618,2.658267,0.431537,0.000005,GALAXY,,,1705.46
39089837550207413,DESI-COSMOS-v2.0,148.868547,2.525212,0.000514,0.000019,STAR,,,4.39
39089837550205403,DESI-COSMOS-v2.0,148.857608,2.500480,0.434462,0.000018,GALAXY,,,1712.45
39089837550207518,DESI-COSMOS-v2.0,148.753297,2.579103,0.426773,0.000010,GALAXY,,,1687.94
39089837550212201,DESI-COSMOS-v2.0,148.801943,2.389193,1.322787,0.000079,GALAXY,,,4131.02
39089837550194289,DESI-COSMOS-v2.0,148.859164,2.392600,0.316089,0.000014,GALAXY,,,1285.81
39089837550192815,DESI-COSMOS-v2.0,148.889293,2.328224,0.000659,0.000023,STAR,,,4.39
39089837550205450,DESI-COSMOS-v2.0,148.880178,2.397770,1.036893,0.000060,GALAXY,,,3484.62
39089837550206531,DESI-COSMOS-v2.0,148.809895,2.456495,0.533274,0.000019,GALAXY,,,2048.55
39089837550207314,DESI-COSMOS-v2.0,148.865067,2.336391,0.315902,0.000012,GALAXY,,,1285.81
39089837550199578,DESI-COSMOS-v2.0,148.611232,2.408294,0.574623,0.000027,GALAXY,,,2185.31
39089837550203972,DESI-COSMOS-v2.0,148.714845,2.133587,0.565765,0.000030,GALAXY,,,2156.29
39089837550200031,DESI-COSMOS-v2.0,148.729152,2.167551,0.001133,0.000008,STAR,,,4.39
39089837550212079,DESI-COSMOS-v2.0,148.787785,2.244660,0.362433,0.000016,GALAXY,,,1455.56
39089837550204800,DESI-COSMOS-v2.0,148.776625,2.195416,0.219084,0.000005,GALAXY,,,913.32
39089837550201643,DESI-COSMOS-v2.0,148.635925,2.394806,0.896030,0.000054,GALAXY,,,3124.95
39089837550196880,DESI-COSMOS-v2.0,148.744791,2.365546,0.452133,0.000033,GALAXY,,,1775.02
39089837550206933,DESI-COSMOS-v2.0,148.980959,2.342414,0.427177,0.000014,GALAXY,,,1687.94
39089837550084986,DESI-COSMOS-v2.0,149.044429,2.376126,0.438661,0.000015,GALAXY,,,1729.90
39089837550207485,DESI-COSMOS-v2.0,148.992100,2.426612,1.086613,0.000053,GALAXY,,,3605.28
39089837550214512,DESI-COSMOS-v2.0,148.737002,2.439199,0.000115,0.000024,STAR,,,0.00
39089837550205634,DESI-COSMOS-v2.0,148.837913,2.227543,0.451599,0.000019,GALAXY,,,1775.02
39089837550208047,DESI-COSMOS-v2.0,148.801624,2.281605,1.127897,0.000090,GALAXY,,,3701.68
39089837550213579,DESI-COSMOS-v2.0,148.895361,2.278118,0.827282,0.000054,GALAXY,,,2937.81
39089837550196443,DESI-COSMOS-v2.0,148.722941,2.405054,0.097350,0.000018,GALAXY,,,416.73
39089837550209331,DESI-COSMOS-v2.0,148.753631,2.420205,0.000400,0.000011,STAR,,,0.00
39089837550201138,DESI-COSMOS-v2.0,148.760630,2.492130,1.213183,0.000100,GALAXY,,,3894.56
39089837550213019,DESI-COSMOS-v2.0,148.709513,2.605649,1.000579,0.000057,GALAXY,,,3395.57
39089837550208984,DESI-COSMOS-v2.0,148.716412,2.515712,0.001002,0.000078,GALAXY,,,4.39
39089837550195939,DESI-COSMOS-v2.0,148.664654,2.511770,0.733897,0.000070,GALAXY,,,2673.16
39089837550212165,DESI-COSMOS-v2.0,148.820820,2.295103,0.205829,0.000028,GALAXY,,,861.89
39089837550211637,DESI-COSMOS-v2.0,148.690951,2.470624,0.749009,0.000012,GALAXY,,,2716.84
39089837550202488,DESI-COSMOS-v2.0,148.849766,2.377399,0.534548,0.000026,GALAXY,,,2055.14
39089837550214889,DESI-COSMOS-v2.0,148.816400,2.536935,0.198266,0.000026,GALAXY,,,830.07
39089837550205217,DESI-COSMOS-v2.0,148.886213,2.308634,0.805480,0.000023,GALAXY,,,2876.52
39089837550214135,DESI-COSMOS-v2.0,148.917973,2.498520,0.386740,0.000009,GALAXY,,,1545.97
39089837550197997,DESI-COSMOS-v2.0,148.925047,2.386306,0.190747,0.000020,GALAXY,,,802.11
39089837550197150,DESI-COSMOS-v2.0,148.865271,2.332147,1.107832,0.000064,GALAXY,,,3654.93
39089837550198938,DESI-COSMOS-v2.0,148.767625,2.462834,0.099110,0.000006,GALAXY,,,425.12
39089837550205125,DESI-COSMOS-v2.0,148.891612,2.444708,0.881304,0.000057,GALAXY,,,3084.91
39089837550205869,DESI-COSMOS-v2.0,148.817224,2.306676,0.690720,0.000049,GALAXY,,,2545.75
39089837550213667,DESI-COSMOS-v2.0,148.730162,2.665463,0.000550,0.000003,STAR,,,4.39
39089837550205471,DESI-COSMOS-v2.0,148.817981,2.570917,0.341088,0.000010,GALAXY,,,1378.61
39089837550199176,DESI-COSMOS-v2.0,148.865399,2.552753,0.313230,0.000018,GALAXY,,,1274.59
