event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW230814_230901,GWTC-4,Meissner_2004_area,0.237500,5.359347,0.018523,0.045347,1
GW230819_171910,GWTC-4,Meissner_2004_area,0.237500,5.145189,0.307321,-0.168811,1
GW230820_212515,GWTC-4,Meissner_2004_area,0.237500,5.315780,0.301789,0.001780,1
GW230824_033047,GWTC-4,Meissner_2004_area,0.237500,5.323250,0.137219,0.009250,1
GW230825_041334,GWTC-4,Meissner_2004_area,0.237500,5.469486,0.142996,0.155486,1
GW230831_015414,GWTC-4,Meissner_2004_area,0.237500,5.353174,0.127806,0.039174,1
GW230904_051013,GWTC-4,Meissner_2004_area,0.237500,5.339588,0.084157,0.025588,1
GW230911_195324,GWTC-4,Meissner_2004_area,0.237500,5.257572,0.118628,-0.056428,1
GW230914_111401,GWTC-4,Meissner_2004_area,0.237500,5.338467,0.138934,0.024467,1
GW230919_215712,GWTC-4,Meissner_2004_area,0.237500,5.426815,0.048694,0.112815,1
GW230920_071124,GWTC-4,Meissner_2004_area,0.237500,5.340251,0.100858,0.026251,1
GW230922_020344,GWTC-4,Meissner_2004_area,0.237500,5.342605,0.078205,0.028605,1
GW230922_040658,GWTC-4,Meissner_2004_area,0.237500,5.445912,0.227366,0.131912,1
GW230924_124453,GWTC-4,Meissner_2004_area,0.237500,5.363000,0.052697,0.049000,1
GW230927_043729,GWTC-4,Meissner_2004_area,0.237500,5.353703,0.071947,0.039703,1
GW230927_153832,GWTC-4,Meissner_2004_area,0.237500,5.357027,0.037012,0.043027,1
GW230928_215827,GWTC-4,Meissner_2004_area,0.237500,5.500814,0.164218,0.186814,1
GW230930_110730,GWTC-4,Meissner_2004_area,0.237500,5.344150,0.114664,0.030150,1
GW231001_140220,GWTC-4,Meissner_2004_area,0.237500,5.210043,0.184428,-0.103957,1
GW231004_232346,GWTC-4,Meissner_2004_area,0.237500,5.201309,0.189236,-0.112691,1
GW231005_021030,GWTC-4,Meissner_2004_area,0.237500,5.318154,0.187800,0.004154,1
GW231005_091549,GWTC-4,Meissner_2004_area,0.237500,5.324464,0.107263,0.010464,1
GW231008_142521,GWTC-4,Meissner_2004_area,0.237500,5.254755,0.184567,-0.059245,1
GW231014_040532,GWTC-4,Meissner_2004_area,0.237500,5.396677,0.136715,0.082677,1
GW231018_233037,GWTC-4,Meissner_2004_area,0.237500,5.299621,0.110296,-0.014379,1
GW231020_142947,GWTC-4,Meissner_2004_area,0.237500,5.345117,0.155377,0.031117,1
GW231028_153006,GWTC-4,Meissner_2004_area,0.237500,5.586161,0.129414,0.272161,1
GW231029_111508,GWTC-4,Meissner_2004_area,0.237500,5.356563,0.161176,0.042563,1
GW231102_071736,GWTC-4,Meissner_2004_area,0.237500,5.363910,0.093358,0.049910,1
GW231104_133418,GWTC-4,Meissner_2004_area,0.237500,5.388358,0.071933,0.074358,1
GW231108_125142,GWTC-4,Meissner_2004_area,0.237500,5.310921,0.047909,-0.003079,1
GW231110_040320,GWTC-4,Meissner_2004_area,0.237500,5.369903,0.083976,0.055903,1
GW231113_122623,GWTC-4,Meissner_2004_area,0.237500,5.492006,0.161844,0.178006,1
GW231113_200417,GWTC-4,Meissner_2004_area,0.237500,5.365484,0.087617,0.051484,1
GW231114_043211,GWTC-4,Meissner_2004_area,0.237500,5.070395,0.150130,-0.243605,1
GW231118_005626,GWTC-4,Meissner_2004_area,0.237500,5.412925,0.114888,0.098925,1
GW231118_071402,GWTC-4,Meissner_2004_area,0.237500,5.381517,0.139939,0.067517,1
GW231118_090602,GWTC-4,Meissner_2004_area,0.237500,5.258981,0.266066,-0.055019,1
GW231119_075248,GWTC-4,Meissner_2004_area,0.237500,5.327030,0.151206,0.013030,1
GW231123_135430,GWTC-4,Meissner_2004_area,0.237500,5.295632,0.076309,-0.018368,1
GW231127_165300,GWTC-4,Meissner_2004_area,0.237500,5.306151,0.189975,-0.007849,1
GW231129_081745,GWTC-4,Meissner_2004_area,0.237500,5.262851,0.160432,-0.051149,1
GW231206_233134,GWTC-4,Meissner_2004_area,0.237500,5.318057,0.072231,0.004057,1
GW231206_233901,GWTC-4,Meissner_2004_area,0.237500,5.336879,0.064414,0.022879,1
GW231213_111417,GWTC-4,Meissner_2004_area,0.237500,5.380450,0.090399,0.066450,1
GW231221_135041,GWTC-4,Meissner_2004_area,0.237500,5.298776,0.200763,-0.015224,1
GW231223_032836,GWTC-4,Meissner_2004_area,0.237500,5.239681,0.168709,-0.074319,1
GW231223_075055,GWTC-4,Meissner_2004_area,0.237500,5.290898,0.137728,-0.023102,1
GW231223_202619,GWTC-4,Meissner_2004_area,0.237500,5.378326,0.068186,0.064326,1
GW231224_024321,GWTC-4,Meissner_2004_area,0.237500,5.348360,0.037430,0.034360,1
GW231226_101520,GWTC-4,Meissner_2004_area,0.237500,5.339225,0.025818,0.025225,1
