targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39627706828068657,DESI-XMMLSS-v2.0,36.465564,-3.167941,1.081485,0.000038,GALAXY,,,3590.98
39627712863667787,DESI-XMMLSS-v2.0,36.545711,-3.083999,0.988927,0.000035,GALAXY,,,3365.47
39627706828068138,DESI-XMMLSS-v2.0,36.451070,-3.216777,0.972588,0.000023,GALAXY,,,3325.02
39627712859480301,DESI-XMMLSS-v2.0,36.497352,-3.094624,2.263660,0.000359,QSO,,,5692.35
39627706828070170,DESI-XMMLSS-v2.0,36.507451,-3.190521,1.495352,0.000162,GALAXY,,,4473.67
39627706828070211,DESI-XMMLSS-v2.0,36.509276,-3.157213,0.141320,0.000029,GALAXY,,,599.41
39627712872058909,DESI-XMMLSS-v2.0,37.114974,-3.087183,0.974902,0.000053,GALAXY,,,3330.09
39627712863670049,DESI-XMMLSS-v2.0,36.620194,-3.112077,0.907196,0.000024,GALAXY,,,3154.08
39627706828062862,DESI-XMMLSS-v2.0,36.302130,-3.326848,1.071641,0.000052,GALAXY,,,3569.44
39627706823876308,DESI-XMMLSS-v2.0,36.277000,-3.301159,0.972992,0.000028,GALAXY,,,3325.02
39627706823872986,DESI-XMMLSS-v2.0,36.185671,-3.257002,1.095904,0.000077,GALAXY,,,3626.63
39627706823872091,DESI-XMMLSS-v2.0,36.160457,-3.225972,1.000532,0.000327,GALAXY,,,3395.57
39627712855280218,DESI-XMMLSS-v2.0,36.074291,-3.027148,1.395799,0.000085,GALAXY,,,4280.29
39627706823869823,DESI-XMMLSS-v2.0,36.092808,-3.181835,1.225571,0.000075,QSO,,,3923.26
39627712855278495,DESI-XMMLSS-v2.0,36.023701,-3.067161,0.479114,0.000068,GALAXY,,,1867.65
39627706823869581,DESI-XMMLSS-v2.0,36.085923,-3.143010,0.802180,0.000019,GALAXY,,,2868.10
39627712851091734,DESI-XMMLSS-v2.0,35.986618,-3.004076,0.885779,0.000011,GALAXY,,,3098.29
39627712851090872,DESI-XMMLSS-v2.0,35.961864,-3.016491,0.736874,0.000094,GALAXY,,,2681.93
39627712855278452,DESI-XMMLSS-v2.0,36.022570,-3.053945,0.479157,0.000050,GALAXY,,,1867.65
39627712851090459,DESI-XMMLSS-v2.0,35.950444,-2.962561,1.370847,0.000083,GALAXY,,,4229.83
39627712855279710,DESI-XMMLSS-v2.0,36.058321,-3.115712,0.481043,0.000087,GALAXY,,,1874.45
39627706823869791,DESI-XMMLSS-v2.0,36.091865,-3.160497,1.334921,0.000039,GALAXY,,,4155.96
39627712855282952,DESI-XMMLSS-v2.0,36.154121,-3.123541,1.420313,0.000083,GALAXY,,,4328.10
39627712851091761,DESI-XMMLSS-v2.0,35.987461,-3.051297,0.977960,0.000071,GALAXY,,,3337.70
39627712851090541,DESI-XMMLSS-v2.0,35.952293,-3.044520,1.294422,0.000316,QSO,,,4070.06
39627712859478973,DESI-XMMLSS-v2.0,36.455382,-3.009497,0.604179,0.000086,GALAXY,,,2277.77
39627712859474221,DESI-XMMLSS-v2.0,36.315018,-2.925021,0.464081,0.000095,GALAXY,,,1816.37
39627712867862736,DESI-XMMLSS-v2.0,36.818532,-2.892927,0.366260,0.000005,GALAXY,,,1470.11
39627712859473259,DESI-XMMLSS-v2.0,36.288789,-2.968902,0.777038,0.000074,QSO,,,2797.34
39627712863674222,DESI-XMMLSS-v2.0,36.744168,-2.989770,0.972259,0.000037,GALAXY,,,3322.48
39627712863672361,DESI-XMMLSS-v2.0,36.686517,-3.008288,0.773405,0.000012,GALAXY,,,2785.92
39627712859478748,DESI-XMMLSS-v2.0,36.449291,-2.889907,1.592582,0.000720,QSO,,,4655.49
39627712859472881,DESI-XMMLSS-v2.0,36.278289,-2.881442,0.801121,0.000094,GALAXY,,,2865.29
39627712863672643,DESI-XMMLSS-v2.0,36.694493,-2.973889,0.806597,0.000016,GALAXY,,,2882.12
39627712863673155,DESI-XMMLSS-v2.0,36.708926,-3.025367,1.241085,0.000061,GALAXY,,,3956.11
39627712863670960,DESI-XMMLSS-v2.0,36.646230,-2.904080,0.482589,0.000067,GALAXY,,,1881.24
39627712863671988,DESI-XMMLSS-v2.0,36.675667,-3.041458,1.376139,0.000085,GALAXY,,,4239.98
39627712859475536,DESI-XMMLSS-v2.0,36.351340,-2.975111,1.234948,0.000137,QSO,,,3943.00
39627712863668290,DESI-XMMLSS-v2.0,36.562162,-2.906728,2.257852,0.000422,QSO,,,5684.41
39627712859479665,DESI-XMMLSS-v2.0,36.478076,-2.976010,0.916940,0.000025,GALAXY,,,3180.41
