event_file,catalog,waveform_key,erad_strategy,M_total_med,log2_M,chi_eff_med,af_med,m_irr_final_med,e_th_med,e_th_frac_med,n_std,n_std_std,gap_std,n_irr,n_irr_std,gap_irr,n_above,n_above_std,gap_above,has_variant_c,in_band_std,n_samples
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.9488,6.064986,0.053065,0.712512,58.7662,0.0,0.0,5.36397,0.1035,132.332948,5.457017,0.116775,132.239901,5.363619,0.20333,132.333299,1,1,42612
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.2608,6.050084,0.065069,0.718034,58.0416,0.0,0.0,5.36973,0.09842,132.312286,5.4644,0.111597,132.217615,5.369156,0.192884,132.31286,1,1,136399
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,107.1354,6.743291,0.678607,0.912194,86.3415,0.0,0.0,5.21412,0.343804,133.161103,5.373526,0.365655,133.001697,5.215409,0.3493,133.159814,1,1,11138
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,98.5777,6.62319,0.695928,0.919755,78.0666,0.0,0.0,5.40014,0.292684,132.854981,5.56692,0.310171,132.688202,5.400247,0.299241,132.854875,1,1,178895
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,43.496,5.442812,-0.030107,0.669085,38.8159,0.0,0.0,5.321596,0.074859,131.753148,5.40445,0.0844,131.670294,5.321048,0.136062,131.753695,1,1,53971
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,43.1812,5.43233,-0.029118,0.669651,38.5057,0.0,0.0,5.321423,0.072635,131.742839,5.404338,0.081951,131.659924,5.320704,0.134466,131.743558,1,1,127008
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.4591,5.265252,0.246978,0.656886,34.9493,0.0,0.0,5.022211,0.078574,131.874973,5.090851,0.08106,131.806333,5.0222,0.078735,131.874984,1,1,182052
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.4473,5.264811,0.247888,0.657305,34.9367,0.0,0.0,5.020724,0.078802,131.876019,5.089314,0.081279,131.807429,5.020718,0.078927,131.876025,1,1,264789
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.027,5.858652,-0.035302,0.673345,51.6771,0.0,0.0,5.313018,0.115031,132.177566,5.396174,0.130039,132.09441,5.31425,0.234327,132.176334,1,1,27757
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,56.9955,5.832777,-0.003548,0.684993,50.5345,0.0,0.0,5.329395,0.111198,132.135313,5.415404,0.126741,132.049305,5.329967,0.211895,132.134741,1,1,144722
