event_file,catalog,waveform_key,median_n,std_n,in_bbh_band,median_q,mean_q,std_q,q_bin,median_chi_eff,e_chi2,beta_posterior,n_samples
IGWN-GWTC4p0-0f954158d_720-GW230630_234532-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.30131,0.07368,1,0.67306,0.67719,0.17787,0.6-0.8,-0.04014,0.005964,0.98807,15135
IGWN-GWTC4p0-0f954158d_720-GW230702_185453-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.13821,0.22133,1,0.4074,0.45721,0.21633,0.4-0.6,0.05871,0.029262,0.94148,17288
IGWN-GWTC4p0-0f954158d_720-GW230704_021211-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.28105,0.12649,1,0.60694,0.62384,0.17741,0.6-0.8,-0.01389,0.016133,0.96773,23018
IGWN-GWTC4p0-0f954158d_720-GW230704_212616-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.38206,0.25624,1,0.49525,0.51454,0.22369,0.4-0.6,0.37719,0.170918,0.65816,23006
IGWN-GWTC4p0-0f954158d_720-GW230706_104333-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.40878,0.07499,1,0.71357,0.71069,0.16629,0.6-0.8,0.19291,0.042923,0.91415,15235
IGWN-GWTC4p0-0f954158d_720-GW230707_124047-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.333,0.08199,1,0.81336,0.79453,0.13931,0.8-1.0,-0.04347,0.027165,0.94567,13678
IGWN-GWTC4p0-0f954158d_720-GW230708_053705-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.38436,0.07464,1,0.80791,0.79229,0.1362,0.8-1.0,0.07729,0.024566,0.95087,15934
IGWN-GWTC4p0-0f954158d_720-GW230708_230935-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.29116,0.16924,1,0.59922,0.60628,0.18692,0.4-0.6,0.02428,0.028352,0.9433,14977
IGWN-GWTC4p0-0f954158d_720-GW230709_122727-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.35381,0.1688,1,0.69728,0.67967,0.19949,0.6-0.8,0.09451,0.041512,0.91698,12263
IGWN-GWTC4p0-0f954158d_720-GW230712_090405-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.08814,0.27933,1,0.40744,0.46694,0.23282,0.4-0.6,-0.04105,0.035241,0.92952,26163
IGWN-GWTC4p0-0f954158d_720-GW230723_101834-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.24801,0.10718,1,0.63771,0.65006,0.1799,0.6-0.8,-0.15887,0.043988,0.91202,15000
IGWN-GWTC4p0-0f954158d_720-GW230726_002940-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34321,0.06778,1,0.79975,0.78673,0.13407,0.6-0.8,-0.01655,0.016669,0.96666,13791
IGWN-GWTC4p0-0f954158d_720-GW230729_082317-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33515,0.14794,1,0.61037,0.60363,0.22729,0.6-0.8,0.12476,0.0339,0.9322,12605
IGWN-GWTC4p0-0f954158d_720-GW230731_215307-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.32715,0.04799,1,0.76269,0.74916,0.15522,0.6-0.8,-0.04788,0.00414,0.99172,10904
IGWN-GWTC4p0-0f954158d_720-GW230803_033412-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33373,0.15002,1,0.60337,0.62248,0.18664,0.6-0.8,0.09899,0.039639,0.92072,16784
IGWN-GWTC4p0-0f954158d_720-GW230805_034249-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33543,0.15431,1,0.63868,0.64204,0.19697,0.6-0.8,0.08199,0.030235,0.93953,16941
IGWN-GWTC4p0-0f954158d_720-GW230806_204041-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36262,0.13465,1,0.71172,0.70026,0.18226,0.6-0.8,0.09289,0.034113,0.93177,14235
IGWN-GWTC4p0-0f954158d_720-GW230811_032116-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.30473,0.09819,1,0.61686,0.63363,0.15112,0.6-0.8,0.01711,0.010668,0.97866,17874
IGWN-GWTC4p0-0f954158d_720-GW230814_061920-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.31596,0.1325,1,0.61911,0.62659,0.16245,0.6-0.8,0.05286,0.024317,0.95137,13478
IGWN-GWTC4p0-0f954158d_720-GW230814_230901-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.35945,0.01846,1,0.84942,0.84568,0.06712,0.8-1.0,-0.01034,0.001464,0.99707,13460
IGWN-GWTC4p0-0f954158d_720-GW230819_171910-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.14527,0.30734,1,0.45421,0.48981,0.2426,0.4-0.6,-0.02915,0.058953,0.88209,15680
IGWN-GWTC4p0-0f954158d_720-GW230820_212515-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.31583,0.30179,1,0.49429,0.52463,0.24894,0.4-0.6,0.20929,0.076684,0.84663,15759
IGWN-GWTC4p0-0f954158d_720-GW230824_033047-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.32298,0.13723,1,0.6918,0.68348,0.18411,0.6-0.8,0.00218,0.019497,0.96101,13206
IGWN-GWTC4p0-0f954158d_720-GW230825_041334-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.46935,0.14311,1,0.65702,0.66567,0.17575,0.6-0.8,0.31738,0.118134,0.76373,13826
IGWN-GWTC4p0-0f954158d_720-GW230831_015414-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.35369,0.12777,1,0.7468,0.72698,0.17491,0.6-0.8,0.04275,0.02945,0.9411,14508
IGWN-GWTC4p0-0f954158d_720-GW230904_051013-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33891,0.08416,1,0.66988,0.66796,0.18772,0.6-0.8,0.05618,0.010255,0.97949,15560
IGWN-GWTC4p0-0f954158d_720-GW230911_195324-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.25947,0.11833,1,0.56288,0.58062,0.14287,0.4-0.6,-0.029,0.015676,0.96865,18595
IGWN-GWTC4p0-0f954158d_720-GW230914_111401-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33799,0.13903,1,0.60557,0.61926,0.16888,0.6-0.8,0.12752,0.029849,0.9403,18353
IGWN-GWTC4p0-0f954158d_720-GW230919_215712-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.42664,0.04916,1,0.79663,0.78512,0.13302,0.6-0.8,0.18229,0.038588,0.92282,15670
IGWN-GWTC4p0-0f954158d_720-GW230920_071124-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34031,0.10097,1,0.75689,0.74088,0.16279,0.6-0.8,-0.00189,0.016115,0.96777,15199
IGWN-GWTC4p0-0f954158d_720-GW230922_020344-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34382,0.0785,1,0.70151,0.7085,0.1502,0.6-0.8,0.03535,0.014453,0.97109,19000
IGWN-GWTC4p0-0f954158d_720-GW230922_040658-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.4457,0.22737,1,0.65244,0.62953,0.23072,0.6-0.8,0.33778,0.132894,0.73421,14201
IGWN-GWTC4p0-0f954158d_720-GW230924_124453-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36288,0.05297,1,0.812,0.80153,0.12456,0.8-1.0,0.01957,0.010037,0.97993,14630
IGWN-GWTC4p0-0f954158d_720-GW230927_043729-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.35326,0.07204,1,0.80559,0.78712,0.13981,0.8-1.0,0.0071,0.014509,0.97098,13148
IGWN-GWTC4p0-0f954158d_720-GW230927_153832-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.35863,0.03783,1,0.74421,0.75082,0.12318,0.6-0.8,0.04056,0.003613,0.99277,14161
IGWN-GWTC4p0-0f954158d_720-GW230928_215827-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.50068,0.16403,1,0.5473,0.55836,0.15648,0.4-0.6,0.42045,0.182629,0.63474,19357
IGWN-GWTC4p0-0f954158d_720-GW230930_110730-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34389,0.1146,1,0.73955,0.7237,0.17283,0.6-0.8,0.02766,0.024363,0.95127,11732
IGWN-GWTC4p0-0f954158d_720-GW231001_140220-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.20984,0.18448,1,0.52035,0.5396,0.16903,0.4-0.6,-0.04788,0.039667,0.92067,16041
IGWN-GWTC4p0-0f954158d_720-GW231004_232346-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.20081,0.18936,1,0.51348,0.5367,0.18361,0.4-0.6,-0.05118,0.042652,0.9147,15804
IGWN-GWTC4p0-0f954158d_720-GW231005_021030-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.31847,0.18777,1,0.57679,0.58798,0.19637,0.4-0.6,0.11233,0.059978,0.88004,13730
IGWN-GWTC4p0-0f954158d_720-GW231005_091549-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.32519,0.10717,1,0.77237,0.75084,0.16466,0.6-0.8,-0.03843,0.023047,0.95391,12902
IGWN-GWTC4p0-0f954158d_720-GW231008_142521-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.25411,0.18451,1,0.5675,0.58376,0.19713,0.4-0.6,-0.02524,0.022363,0.95527,16800
IGWN-GWTC4p0-0f954158d_720-GW231014_040532-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.39742,0.13692,1,0.71622,0.69985,0.18775,0.6-0.8,0.18128,0.05586,0.88828,16903
IGWN-GWTC4p0-0f954158d_720-GW231018_233037-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.29969,0.11047,1,0.62337,0.63263,0.19261,0.6-0.8,0.01478,0.009188,0.98162,15611
IGWN-GWTC4p0-0f954158d_720-GW231020_142947-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34416,0.15539,1,0.60707,0.59253,0.23876,0.6-0.8,0.15116,0.043661,0.91268,14942
IGWN-GWTC4p0-0f954158d_720-GW231028_153006-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.58597,0.12946,1,0.69981,0.68343,0.17968,0.6-0.8,0.49569,0.250419,0.49916,15128
IGWN-GWTC4p0-0f954158d_720-GW231029_111508-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.35636,0.16123,1,0.62313,0.6335,0.18619,0.6-0.8,0.14528,0.041772,0.91646,13488
IGWN-GWTC4p0-0f954158d_720-GW231102_071736-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36361,0.09338,1,0.70494,0.70625,0.14524,0.6-0.8,0.07405,0.019582,0.96084,15330
IGWN-GWTC4p0-0f954158d_720-GW231104_133418-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.3873,0.07213,1,0.7054,0.69847,0.17636,0.6-0.8,0.14553,0.026367,0.94727,13042
IGWN-GWTC4p0-0f954158d_720-GW231108_125142-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.31141,0.04841,1,0.75329,0.75435,0.13559,0.6-0.8,-0.07625,0.012383,0.97523,16031
IGWN-GWTC4p0-0f954158d_720-GW231110_040320-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.37099,0.08562,1,0.62221,0.6406,0.16952,0.6-0.8,0.17464,0.036001,0.928,16586
IGWN-GWTC4p0-0f954158d_720-GW231113_122623-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.49228,0.16196,1,0.67966,0.67035,0.19191,0.6-0.8,0.36482,0.148738,0.70252,17278
IGWN-GWTC4p0-0f954158d_720-GW231113_200417-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36428,0.08846,1,0.65852,0.66302,0.18638,0.6-0.8,0.12531,0.022627,0.95475,13984
IGWN-GWTC4p0-0f954158d_720-GW231114_043211-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.07038,0.15025,1,0.35297,0.36522,0.12405,0.2-0.4,0.09097,0.021987,0.95603,17986
IGWN-GWTC4p0-0f954158d_720-GW231118_005626-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.41535,0.11216,1,0.49115,0.5202,0.17094,0.4-0.6,0.39286,0.157454,0.68509,17887
IGWN-GWTC4p0-0f954158d_720-GW231118_071402-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.38122,0.1401,1,0.71392,0.70234,0.18033,0.6-0.8,0.12777,0.044648,0.9107,15567
IGWN-GWTC4p0-0f954158d_720-GW231118_090602-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.25852,0.26587,1,0.49024,0.49206,0.26297,0.4-0.6,0.11951,0.060212,0.87958,17286
IGWN-GWTC4p0-0f954158d_720-GW231119_075248-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.32686,0.15115,1,0.73004,0.70539,0.19272,0.6-0.8,-0.00049,0.027941,0.94412,14216
IGWN-GWTC4p0-0f954158d_720-GW231123_135430-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.2957,0.07631,1,0.62225,0.6206,0.07476,0.6-0.8,0.03907,0.013708,0.97258,19980
IGWN-GWTC4p0-0f954158d_720-GW231127_165300-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.306,0.19005,1,0.6182,0.62277,0.2014,0.6-0.8,0.04064,0.036807,0.92639,14592
IGWN-GWTC4p0-0f954158d_720-GW231129_081745-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.26245,0.16046,1,0.53599,0.55649,0.16424,0.4-0.6,0.0274,0.02336,0.95328,14785
IGWN-GWTC4p0-0f954158d_720-GW231206_233134-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.31785,0.07233,1,0.81472,0.7965,0.13465,0.8-1.0,-0.09006,0.027235,0.94553,13230
IGWN-GWTC4p0-0f954158d_720-GW231206_233901-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33583,0.0652,1,0.77253,0.76092,0.14713,0.6-0.8,-0.02925,0.00748,0.98504,15034
IGWN-GWTC4p0-0f954158d_720-GW231213_111417-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.38029,0.09033,1,0.79446,0.77334,0.15137,0.6-0.8,0.0767,0.024746,0.95051,14380
IGWN-GWTC4p0-0f954158d_720-GW231221_135041-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.29813,0.20095,1,0.64045,0.62499,0.22841,0.6-0.8,0.03933,0.057907,0.88419,16198
IGWN-GWTC4p0-0f954158d_720-GW231223_032836-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.23927,0.16868,1,0.69936,0.67008,0.2137,0.6-0.8,-0.16159,0.074438,0.85112,15011
IGWN-GWTC4p0-0f954158d_720-GW231223_075055-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.2897,0.13807,1,0.56248,0.57996,0.2124,0.4-0.6,0.07208,0.018654,0.96269,18392
IGWN-GWTC4p0-0f954158d_720-GW231223_202619-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.37843,0.06877,1,0.74686,0.73004,0.16758,0.6-0.8,0.10497,0.017811,0.96438,13892
IGWN-GWTC4p0-0f954158d_720-GW231224_024321-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34842,0.03787,1,0.78265,0.77238,0.13975,0.6-0.8,-0.00516,0.001586,0.99683,16775
IGWN-GWTC4p0-0f954158d_720-GW231226_101520-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33863,0.02668,1,0.87799,0.86,0.0999,0.8-1.0,-0.0738,0.007762,0.98448,15030
IGWN-GWTC4p0-0f954158d_720-GW231230_170116-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.22859,0.18299,1,0.70244,0.67993,0.20393,0.6-0.8,-0.21668,0.088637,0.82273,15694
IGWN-GWTC4p0-0f954158d_720-GW231231_154016-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33311,0.04632,1,0.76562,0.76202,0.13688,0.6-0.8,-0.02865,0.005346,0.98931,13245
IGWN-GWTC4p0-0f954158d_720-GW240104_164932-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.39889,0.08088,1,0.77846,0.76549,0.14628,0.6-0.8,0.12554,0.027053,0.94589,14325
IGWN-GWTC4p0-0f954158d_720-GW240107_013215-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36989,0.28232,1,0.49832,0.52805,0.24498,0.4-0.6,0.33875,0.143914,0.71217,18048
IGWN-GWTC4p0-0f954158d_720-GW240109_050431-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.25834,0.0862,1,0.61685,0.63758,0.15039,0.6-0.8,-0.07599,0.021558,0.95688,15285
