event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC4p0-0f954158d_720-GW231008_142521-combined_PEDataRelease.hdf5,5.254111173775193,0.18451091708335662,0.5674991544201036,-0.025243375883629203,16800
IGWN-GWTC4p0-0f954158d_720-GW231129_081745-combined_PEDataRelease.hdf5,5.257549194965832,0.16484003918254664,0.5446747168319725,0.0022009896478207783,15258
IGWN-GWTC4p0-0f954158d_720-GW231001_140220-combined_PEDataRelease.hdf5,5.199136577629298,0.2016479196893411,0.5003128849425806,-0.04862714003868372,15630
IGWN-GWTC4p0-0f954158d_720-GW240107_013215-combined_PEDataRelease.hdf5,5.312709485992427,0.26839094252850026,0.46601165623032836,0.2662263499475056,18200
IGWN-GWTC4p0-0f954158d_720-GW231226_101520-combined_PEDataRelease.hdf5,5.321152974979396,0.024072360864619707,0.8842437504915192,-0.12162478173848426,16956
IGWN-GWTC4p0-0f954158d_720-GW230702_185453-combined_PEDataRelease.hdf5,5.1382067245093666,0.22132553156334908,0.40740405254021783,0.05871097591465774,17288
IGWN-GWTC4p0-0f954158d_720-GW230707_124047-combined_PEDataRelease.hdf5,5.333003269358315,0.08198509156428833,0.8133648854244504,-0.04347025800834293,13678
IGWN-GWTC4p0-0f954158d_720-GW231127_165300-combined_PEDataRelease.hdf5,5.30600456510375,0.19005264635088043,0.6182036319153714,0.040635329989082626,14592
IGWN-GWTC4p0-0f954158d_720-GW231231_154016-combined_PEDataRelease.hdf5,5.333109896935149,0.046318973857214264,0.7656177219334427,-0.02864871800273712,13245
IGWN-GWTC4p0-0f954158d_720-GW230723_101834-combined_PEDataRelease.hdf5,5.248014774343413,0.10717561788143316,0.637713496479809,-0.15886977359904125,15000
IGWN-GWTC4p0-0f954158d_720-GW230627_015337-combined_PEDataRelease.hdf5,5.336284825286771,0.042769988915369,0.6904298111190937,0.02095534963990197,9688
IGWN-GWTC4p0-0f954158d_720-GW230930_110730-combined_PEDataRelease.hdf5,5.343889413109178,0.11460130044311966,0.7395464404940829,0.027659277317181263,11732
IGWN-GWTC4p0-0f954158d_720-GW230911_195324-combined_PEDataRelease.hdf5,5.273913205701351,0.09721133367326282,0.6195240638717314,-0.06452767897475983,14815
IGWN-GWTC4p0-0f954158d_720-GW230708_230935-combined_PEDataRelease.hdf5,5.290817493365251,0.16567296892801286,0.6150900719887233,0.008072995093619521,16204
IGWN-GWTC4p0-0f954158d_720-GW230928_215827-combined_PEDataRelease.hdf5,5.500678096282447,0.16402776340598255,0.5473023716865422,0.4204456764069287,19357
IGWN-GWTC4p0-0f954158d_720-GW231230_170116-combined_PEDataRelease.hdf5,5.228591213263325,0.18299300617686498,0.7024397426940815,-0.21667737489839273,15694
IGWN-GWTC4p0-0f954158d_720-GW231004_232346-combined_PEDataRelease.hdf5,5.191960055167062,0.19454563593924576,0.5045368302143126,-0.06510605516684748,16906
IGWN-GWTC4p0-0f954158d_720-GW231005_021030-combined_PEDataRelease.hdf5,5.326606662856982,0.2008140960137309,0.596991083115092,0.1125105921313498,14404
IGWN-GWTC4p0-0f954158d_720-GW230609_064958-combined_PEDataRelease.hdf5,5.277944429399601,0.10503815716988428,0.7336716849659162,-0.14268171785084877,13019
IGWN-GWTC4p0-0f954158d_720-GW230606_004305-combined_PEDataRelease.hdf5,5.266803954776732,0.12461688171847558,0.71261184655893,-0.13612777823759623,13904
IGWN-GWTC4p0-0f954158d_720-GW230831_015414-combined_PEDataRelease.hdf5,5.353694972525107,0.12777265245616962,0.7468016742520822,0.04275331742963068,14508
IGWN-GWTC4p0-0f954158d_720-GW230624_113103-combined_PEDataRelease.hdf5,5.34440670500066,0.13216842315624483,0.6252447723644269,0.13669147052167155,15846
IGWN-GWTC4p0-0f954158d_720-GW230824_033047-combined_PEDataRelease.hdf5,5.322976253770932,0.13723043100093038,0.691803516610134,0.002184488495463639,13206
IGWN-GWTC4p0-0f954158d_720-GW230709_122727-combined_PEDataRelease.hdf5,5.353807489115544,0.1687977367952028,0.6972798015136746,0.09451392227643614,12263
IGWN-GWTC4p0-0f954158d_720-GW230920_071124-combined_PEDataRelease.hdf5,5.340314263438691,0.10096955278965787,0.7568863498725503,-0.001891209851293599,15199
IGWN-GWTC4p0-0f954158d_720-GW230922_020344-combined_PEDataRelease.hdf5,5.3438231795616336,0.07850468057267752,0.7015114379404228,0.03535388420738569,19000
IGWN-GWTC4p0-0f954158d_720-GW230729_082317-combined_PEDataRelease.hdf5,5.335153053922753,0.1479421393950285,0.6103658367691881,0.12475526653774924,12605
IGWN-GWTC4p0-0f954158d_720-GW230811_032116-combined_PEDataRelease.hdf5,5.304731723154244,0.09819254601700918,0.6168639036934518,0.017114634505754997,17874
IGWN-GWTC4p0-0f954158d_720-GW231118_005626-combined_PEDataRelease.hdf5,5.436773023761198,0.0873739557150147,0.5496182861973811,0.35611775800287554,17723
IGWN-GWTC4p0-0f954158d_720-GW231123_135430-combined_PEDataRelease.hdf5,5.564769742352556,0.05476883995056375,0.8240339849422615,0.4353009731836265,17877
IGWN-GWTC4p0-0f954158d_720-GW230712_090405-combined_PEDataRelease.hdf5,5.076027833171908,0.31421758940944344,0.40035865373164303,-0.0653553867751756,24220
IGWN-GWTC4p0-0f954158d_720-GW230924_124453-combined_PEDataRelease.hdf5,5.362879779359205,0.05297469732293774,0.8119995201180583,0.019567065817652766,14630
