event_file,n_Robertson,n_Heisenberg,delta_n
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,5.40508,4.40508,1.0
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,5.43967,4.43967,1.0
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,5.36847,4.36847,1.0
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,5.36557,4.36557,1.0
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,5.29595,4.29595,1.0
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,5.30224,4.30224,1.0
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,5.36767,4.36767,1.0
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,5.40953,4.40953,1.0
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,5.31092,4.31092,1.0
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,5.31066,4.31066,1.0
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,5.34188,4.34188,1.0
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,5.34133,4.34133,1.0
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,5.36463,4.36463,1.0
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,5.39785,4.39785,1.0
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,5.32902,4.32902,1.0
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,5.32849,4.32849,1.0
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,5.22388,4.22388,1.0
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,5.22206,4.22206,1.0
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,5.38128,4.38128,1.0
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,5.38788,4.38788,1.0
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,5.34308,4.34308,1.0
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,5.34415,4.34415,1.0
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,5.3481,4.3481,1.0
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,5.36527,4.36527,1.0
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,5.33121,4.33121,1.0
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,5.34082,4.34082,1.0
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,5.49991,4.49991,1.0
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,5.52385,4.52385,1.0
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,4.18887,3.18887,1.0
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,4.18876,3.18876,1.0
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5,5.42344,4.42344,1.0
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,5.42545,4.42545,1.0
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,5.17685,4.17685,1.0
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,5.17838,4.17838,1.0
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,5.34674,4.34674,1.0
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,5.35009,4.35009,1.0
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,5.32849,4.32849,1.0
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,5.33251,4.33251,1.0
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,5.34532,4.34532,1.0
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,5.40277,4.40277,1.0
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,4.66196,3.66196,1.0
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,4.66025,3.66025,1.0
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,5.24278,4.24278,1.0
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,5.24254,4.24254,1.0
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5,5.36411,4.36411,1.0
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,5.36467,4.36467,1.0
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,5.20404,4.20404,1.0
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,5.26148,4.26148,1.0
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,5.09587,4.09587,1.0
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,5.14432,4.14432,1.0
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_cosmo.h5,5.34836,4.34836,1.0
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,5.34801,4.34801,1.0
