event_file,catalog,waveform_key,median_n,in_bbh_band,n_samples,e_chi2_eff,med_chi_eff,e_chi2_final,med_chi_final,e_chi_orb2_direct,e_chi_orb2_healy,chi_orb_healy,e_a1_sq,e_a2_sq,e_kerr_ratio_eff,e_kerr_ratio_final,med_eta,med_q,med_chirp_mass,med_chip,gb_event_pop_beta
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.238,1,181271,0.008914,0.02944,0.428129,0.65265,0.419215,0.396606,0.62977,0.144102,0.29436,1.99551,1.75517,0.22428,0.5143,14.411,0.29074,0.91983
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.28214,1,180002,0.046268,0.15022,0.506914,0.71222,0.460646,0.383532,0.6193,0.264517,0.300344,1.97612,1.69742,0.21996,0.48519,21.399,0.35526,0.99454
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29992,1,123633,0.040365,-0.06762,0.440257,0.66435,0.399892,0.459965,0.67821,0.301597,0.310713,1.97902,1.74517,0.24435,0.73862,27.745,0.45364,0.98273
6513631/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.55257,1,161299,0.231549,0.47323,0.75361,0.87245,0.522061,0.426027,0.65271,0.780755,0.427033,1.87351,1.49269,0.23377,0.59388,25.718,0.58611,1.3651
6513631/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.45327,1,150207,0.124647,0.33665,0.628022,0.79705,0.503376,0.436291,0.66052,0.424748,0.427877,1.93452,1.60559,0.23701,0.62873,41.824,0.48244,1.15129
6513631/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.306,1,148527,0.074626,0.00147,0.44551,0.6753,0.370884,0.441841,0.66471,0.383088,0.34616,1.96042,1.73779,0.23875,0.64994,62.472,0.46499,1.05125
6513631/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.3748,1,210737,0.010491,0.07258,0.492773,0.70105,0.482282,0.463205,0.68059,0.123036,0.220452,1.99471,1.71149,0.24534,0.75974,32.906,0.29755,0.92298
6513631/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34275,1,141653,0.049587,0.12064,0.517584,0.72347,0.467996,0.433885,0.6587,0.344313,0.325153,1.97416,1.68755,0.23625,0.6201,23.988,0.46518,1.00117
6513631/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36732,1,155451,0.046621,0.15214,0.531809,0.73455,0.485187,0.443033,0.66561,0.33034,0.346651,1.97599,1.67959,0.23912,0.65477,47.265,0.46587,0.99524
6513631/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.43967,1,152410,0.124806,0.33267,0.63483,0.80682,0.510024,0.420879,0.64875,0.51596,0.368236,1.93428,1.59902,0.23213,0.5781,36.247,0.52583,1.15161
