event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.44931,0.16698,0.86979,5714.206,0.29754,155608,1
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.28929,0.14028,0.28415,1501.761,-0.05748,63867,1
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.29839,0.13215,0.29964,1596.261,-0.04251,166116,1
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.23571,0.10888,0.27827,1466.197,0.02795,74777,1
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.238,0.10916,0.28952,1534.396,0.02944,181271,1
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.26511,0.16394,0.38885,2162.018,0.13455,48052,1
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.28214,0.1623,0.40728,2283.26,0.15022,180002,1
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.28265,0.14492,0.63401,3881.007,-0.09108,15629,1
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.29992,0.12757,0.74976,4761.949,-0.06762,123633,1
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.52231,0.213,0.30145,1607.374,0.44169,61249,1
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.55257,0.19653,0.35131,1919.589,0.47323,161299,1
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.4386,0.12678,0.4529,2589.381,0.31529,42168,1
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.45327,0.12437,0.52038,3057.043,0.33665,150207,1
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.20658,0.27314,0.55604,3310.919,-0.13979,24545,1
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.306,0.21986,0.71933,4526.637,0.00147,148527,1
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.37623,0.04943,0.17978,896.667,0.07394,104558,1
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.3748,0.05056,0.19138,961.049,0.07258,210737,1
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.3126,0.26509,0.43894,2494.802,0.08308,28052,1
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.34275,0.23314,0.54353,3221.315,0.12064,141653,1
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34092,0.18118,0.48949,2840.858,0.11594,34581,1
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.36732,0.16595,0.55093,3274.209,0.15214,155451,1
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.40508,0.25547,0.51296,3004.816,0.30651,32655,1
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.43967,0.21496,0.57093,3418.183,0.33267,152410,1
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.36847,0.08126,0.16829,833.545,0.09184,87638,1
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.36557,0.08254,0.18184,908.027,0.09412,171387,1
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.29595,0.10662,0.37998,2104.206,-0.09697,54580,1
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.30224,0.10102,0.39723,2217.008,-0.08496,160160,1
