event_file,event_type,waveform_key,n_samples,median_n,mean_n,std_n,in_bbh_band,median_chi_eff,E_chi_eff_sq,beta_fixed,GB_value,delta_from_unity
6513631/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,152410,5.43967,5.38189,0.21496,1,0.33267,0.124806,0.814,1.063611,0.063611
6513631/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,171387,5.36557,5.34862,0.08254,1,0.09412,0.016694,0.814,0.847388,-0.152612
6513631/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,160160,5.30224,5.28585,0.10102,1,-0.08496,0.03498,0.814,0.88396,-0.11604
6513631/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,159868,5.40953,5.37388,0.19251,1,0.322,0.123149,0.814,1.060298,0.060298
6513631/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,367463,5.31066,5.2953,0.06179,1,-0.06341,0.006969,0.814,0.827938,-0.172062
6513631/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,94772,5.34133,5.32009,0.06695,1,0.01964,0.00467,0.814,0.823339,-0.176661
6513631/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,153538,5.39785,5.33687,0.25831,1,0.30411,0.135769,0.814,1.085539,0.085539
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,131644,5.32849,5.29174,0.1271,1,0.17495,0.042276,0.814,0.898552,-0.101448
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,170198,5.22206,5.15253,0.22348,1,-0.03561,0.02879,0.814,0.87158,-0.12842
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,162922,5.38788,5.37597,0.10183,1,0.09895,0.031165,0.814,0.876331,-0.123669
6513631/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,20000,5.34415,5.28273,0.17611,1,0.13951,0.043949,0.814,0.901897,-0.098103
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,126255,5.36527,5.34368,0.12301,1,0.07869,0.028646,0.814,0.871292,-0.128708
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,101656,5.34082,5.32265,0.10503,1,0.00276,0.022124,0.814,0.858248,-0.141752
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,169040,5.52385,5.50482,0.15301,1,0.42437,0.200611,0.814,1.215221,0.215221
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,89500,4.18876,4.1889,0.04005,0,0.0038,0.00269,0.814,0.819381,-0.180619
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,128000,5.42545,5.41957,0.06034,1,0.16038,0.033864,0.814,0.881728,-0.118272
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,181548,5.17838,5.16969,0.12783,1,0.05534,0.013618,0.814,0.841236,-0.158764
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,159609,5.35009,5.34037,0.06816,1,-0.00538,0.012072,0.814,0.838144,-0.161856
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,144305,5.33251,5.31941,0.08149,1,-0.0297,0.016589,0.814,0.847178,-0.152822
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,107199,5.40277,5.3546,0.22256,1,0.27255,0.109443,0.814,1.032887,0.032887
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,20000,4.66025,4.68165,0.21288,0,-0.07453,0.053231,0.814,0.920462,-0.079538
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,46372,5.24254,5.19541,0.16867,1,0.04632,0.019593,0.814,0.853186,-0.146814
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,164960,5.36467,5.34621,0.09148,1,0.08292,0.01882,0.814,0.851639,-0.148361
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,157760,5.26148,5.2129,0.19774,1,-0.00762,0.032551,0.814,0.879103,-0.120897
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,153782,5.14432,5.1064,0.2187,1,-0.02032,0.024737,0.814,0.863474,-0.136526
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,137344,5.34801,5.2861,0.17477,1,0.14869,0.048,0.814,0.910001,-0.089999
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,167837,5.39454,5.35109,0.13019,1,0.21747,0.061875,0.814,0.937749,-0.062251
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,142741,5.3138,5.28557,0.08988,1,-0.01765,0.006971,0.814,0.827943,-0.172057
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,270070,5.22473,5.22376,0.13003,1,-0.29381,0.136135,0.814,1.08627,0.08627
8177023/IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,129899,4.64229,4.74025,0.32157,0,0.01005,0.032271,0.814,0.878542,-0.121458
8177023/IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,158918,5.40293,5.37447,0.10477,1,0.21218,0.054525,0.814,0.92305,-0.07695
