event,catalog,waveform,erad_strategy,median_n,std_n,n_samples,in_bbh_band,M_total_Msun,M_chirp_Msun,mass_ratio,chi_eff,redshift,lum_dist_Mpc,median_snr,snr_src,snr_available,median_theta_jn_rad,median_cos_theta_jn,incl_src
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.40014,0.292684,178895,1,98.5777,33.1463,0.2763,0.6959,1.4295,10547.7819,7.5062,network_matched_filter_snr,1,0.8887,0.6304,theta_jn
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.321596,0.074859,53971,1,43.496,18.4673,0.7383,-0.0301,0.2858,1511.6722,14.6417,network_matched_filter_snr,1,1.2943,0.273,theta_jn
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.321423,0.072635,127008,1,43.1812,18.329,0.735,-0.0291,0.2961,1574.6829,14.6401,network_matched_filter_snr,1,1.1376,0.4198,theta_jn
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.022211,0.078574,182052,1,38.4591,13.3447,0.2821,0.247,0.1416,690.1104,19.787,network_matched_filter_snr,1,0.8042,0.6937,theta_jn
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.020724,0.078802,264789,1,38.4473,13.3257,0.2812,0.2479,0.1434,699.5342,19.7838,network_matched_filter_snr,1,0.7907,0.7033,theta_jn
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.313018,0.115031,27757,1,58.027,24.543,0.7296,-0.0353,0.5579,3324.3621,9.0175,network_matched_filter_snr,1,0.7918,0.7026,theta_jn
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.329395,0.111198,144722,1,56.9955,24.1528,0.7373,-0.0035,0.6146,3737.0392,8.9606,network_matched_filter_snr,1,0.7306,0.7448,theta_jn
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.273783,0.203854,23815,1,81.2511,33.2992,0.5987,-0.0085,0.6226,3796.2844,10.556,network_matched_filter_snr,1,1.8498,-0.2754,theta_jn
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.311039,0.169699,155335,1,78.6772,32.7028,0.6543,0.0211,0.7298,4607.0903,10.5118,network_matched_filter_snr,1,2.0061,-0.4217,theta_jn
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.305285,0.102963,30882,1,73.6101,31.3922,0.7827,-0.0959,0.4527,2587.9613,10.7335,network_matched_filter_snr,1,2.0272,-0.4408,theta_jn
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.310359,0.09766,147856,1,71.669,30.5758,0.7823,-0.0839,0.5064,2958.4536,10.7213,network_matched_filter_snr,1,2.0919,-0.4978,theta_jn
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.418206,0.183825,16736,1,182.3339,75.9944,0.7616,0.2261,0.7259,4577.1825,8.7281,network_matched_filter_snr,1,2.0848,-0.4916,theta_jn
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.449271,0.166979,155608,1,172.1122,71.6648,0.7383,0.2975,0.8698,5714.2056,8.7072,network_matched_filter_snr,1,2.3065,-0.6711,theta_jn
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.289253,0.140284,63867,1,69.4292,29.2014,0.6704,-0.0575,0.2841,1501.7608,12.1513,network_matched_filter_snr,1,2.5299,-0.8187,theta_jn
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.298355,0.13215,166116,1,69.1812,29.1408,0.6812,-0.0425,0.2996,1596.2606,12.1417,network_matched_filter_snr,1,2.5816,-0.8472,theta_jn
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.235675,0.108878,74777,1,36.0873,14.5313,0.5125,0.0279,0.2783,1466.1971,12.6844,network_matched_filter_snr,1,1.7429,-0.1713,theta_jn
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.237961,0.109162,181271,1,35.7398,14.4113,0.5143,0.0294,0.2895,1534.3961,12.6774,network_matched_filter_snr,1,1.8469,-0.2726,theta_jn
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.265078,0.163938,48052,1,54.2525,21.4743,0.4755,0.1346,0.3888,2162.0181,12.5245,network_matched_filter_snr,1,0.7422,0.737,theta_jn
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.282106,0.162296,180002,1,53.7894,21.3994,0.4852,0.1502,0.4073,2283.2604,12.5164,network_matched_filter_snr,1,0.6863,0.7736,theta_jn
GW190514_065416,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.282611,0.144919,15629,1,69.0248,29.0832,0.7175,-0.0911,0.634,3881.0073,8.003,network_matched_filter_snr,1,1.4322,0.1382,theta_jn
GW190514_065416,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.299889,0.127574,123633,1,65.5604,27.7452,0.7386,-0.0676,0.7498,4761.9487,7.9896,network_matched_filter_snr,1,1.3341,0.2345,theta_jn
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.522279,0.213,61249,1,64.4896,26.2694,0.5656,0.4417,0.3014,1607.3741,10.7503,network_matched_filter_snr,1,2.0675,-0.4765,theta_jn
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.552532,0.196532,161299,1,62.6577,25.7185,0.5939,0.4732,0.3513,1919.5894,10.6648,network_matched_filter_snr,1,2.2022,-0.5903,theta_jn
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.438564,0.126776,42168,1,103.1949,43.2107,0.6284,0.3153,0.4529,2589.3807,15.9002,network_matched_filter_snr,1,1.5969,-0.0261,theta_jn
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.453231,0.124368,150207,1,100.1684,41.8243,0.6287,0.3366,0.5204,3057.0433,15.8757,network_matched_filter_snr,1,1.6713,-0.1003,theta_jn
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.206544,0.27314,24545,1,153.1475,63.2916,0.5871,-0.1398,0.556,3310.9194,14.3447,network_matched_filter_snr,1,1.3784,0.1912,theta_jn
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.30597,0.219858,148527,1,149.1713,62.4717,0.6499,0.0015,0.7193,4526.6373,14.2645,network_matched_filter_snr,1,1.0238,0.5201,theta_jn
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.376191,0.049427,104558,1,77.3377,33.2282,0.7642,0.0739,0.1798,896.6669,25.9324,network_matched_filter_snr,1,1.4798,0.0909,theta_jn
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.374768,0.050558,210737,1,76.6533,32.9059,0.7597,0.0726,0.1914,961.0489,25.9238,network_matched_filter_snr,1,1.4057,0.1644,theta_jn
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.312568,0.26509,28052,1,59.5505,23.924,0.591,0.0831,0.4389,2494.8023,8.015,network_matched_filter_snr,1,1.1118,0.4431,theta_jn
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.342713,0.233143,141653,1,59.0755,23.9883,0.6201,0.1206,0.5435,3221.3147,7.9151,network_matched_filter_snr,1,0.9825,0.5549,theta_jn
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.340886,0.181177,34581,1,115.6461,48.0285,0.632,0.1159,0.4895,2840.8575,13.2022,network_matched_filter_snr,1,2.1335,-0.5334,theta_jn
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.36729,0.165953,155451,1,113.3806,47.2652,0.6548,0.1521,0.5509,3274.2086,13.1834,network_matched_filter_snr,1,2.3348,-0.6918,theta_jn
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.405048,0.255465,32655,1,90.6749,36.5329,0.5444,0.3065,0.513,3004.8162,12.0514,network_matched_filter_snr,1,2.2231,-0.607,theta_jn
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.439634,0.214965,152410,1,88.8469,36.2467,0.5781,0.3327,0.5709,3418.1832,12.0435,network_matched_filter_snr,1,2.3291,-0.6877,theta_jn
