catalog,n,mean_q,median_q,std_q,ci95_lo,ci95_hi
GWTC-2.1,51,0.64898,0.68117,0.12761,0.61198,0.68293
GWTC-3,30,0.66523,0.7184,0.14032,0.61191,0.71205
