event_file,catalog,event_type,waveform_key,n_samples,median_n,mean_n,std_n,p5_n,p95_n,ci90_width,cv_pct,dev_from_pred,in_bbh_band,sub_floor,median_chi_eff,median_q
6513631/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,127008,5.32146,5.30801,0.07264,5.18038,5.39514,0.21475,1.3684,0.00746,1,0,-0.02912,0.73497
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,182052,5.02225,5.01997,0.07857,4.88634,5.1452,0.25886,1.5652,0.29175,1,0,0.24698,0.28212
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,264789,5.02076,5.01837,0.0788,4.8843,5.14368,0.25938,1.5703,0.29324,1,0,0.24789,0.28123
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,27757,5.31305,5.29577,0.11503,5.08256,5.44888,0.36632,2.1721,0.00095,1,0,-0.0353,0.72961
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,144722,5.32943,5.31507,0.1112,5.11288,5.46921,0.35633,2.0921,0.01543,1,0,-0.00355,0.73725
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,23815,5.27382,5.22361,0.20385,4.83128,5.45135,0.62008,3.9025,0.04018,1,0,-0.00849,0.59874
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,155335,5.31107,5.27361,0.1697,4.95633,5.47084,0.51452,3.2179,0.00293,1,0,0.02107,0.65431
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,30882,5.30532,5.28619,0.10296,5.09639,5.40687,0.31048,1.9478,0.00868,1,0,-0.09595,0.78266
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,147856,5.31039,5.29278,0.09766,5.11351,5.41091,0.2974,1.8452,0.00361,1,0,-0.08395,0.78228
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,16736,5.41824,5.4002,0.18383,5.08033,5.64427,0.56394,3.404,0.10424,1,0,0.22608,0.76157
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,155608,5.44931,5.43702,0.16698,5.15419,5.67463,0.52044,3.0711,0.13531,1,0,0.29754,0.7383
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,63867,5.28929,5.25467,0.14028,4.96908,5.41488,0.44581,2.6697,0.02471,1,0,-0.05748,0.67043
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,166116,5.29839,5.26749,0.13215,5.00264,5.42142,0.41878,2.5088,0.01561,1,0,-0.04251,0.68117
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,74777,5.23571,5.22382,0.10888,5.02766,5.37017,0.34251,2.0843,0.07829,1,0,0.02795,0.51248
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,181271,5.238,5.22596,0.10916,5.02976,5.37273,0.34297,2.0888,0.076,1,0,0.02944,0.5143
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,48052,5.26511,5.25303,0.16394,4.97538,5.49651,0.52113,3.1208,0.04889,1,0,0.13455,0.47553
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,180002,5.28214,5.26773,0.1623,4.99056,5.50861,0.51805,3.0809,0.03186,1,0,0.15022,0.48519
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,15629,5.28265,5.25604,0.14492,4.99395,5.4237,0.42975,2.7572,0.03135,1,0,-0.09108,0.71754
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,123633,5.29992,5.27932,0.12757,5.05354,5.43602,0.38248,2.4165,0.01408,1,0,-0.06762,0.73862
6513631/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,61249,5.52231,5.46154,0.213,5.03403,5.69623,0.6622,3.9,0.20831,1,0,0.44169,0.56565
6513631/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,161299,5.55257,5.49895,0.19653,5.10466,5.71262,0.60796,3.574,0.23857,1,0,0.47323,0.59388
6513631/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,42168,5.4386,5.42179,0.12678,5.18863,5.59506,0.40643,2.3383,0.1246,1,0,0.31529,0.62843
6513631/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,150207,5.45327,5.4374,0.12437,5.20939,5.60875,0.39936,2.2873,0.13927,1,0,0.33665,0.62873
6513631/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,24545,5.20658,5.16802,0.27314,4.46193,5.51667,1.05474,5.2852,0.10742,1,0,-0.13979,0.58714
6513631/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,148527,5.306,5.26186,0.21986,4.92837,5.52332,0.59495,4.1783,0.008,1,0,0.00147,0.64994
6513631/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,104558,5.37623,5.3711,0.04943,5.28309,5.43931,0.15622,0.9202,0.06223,1,0,0.07394,0.76416
6513631/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,210737,5.3748,5.369,0.05056,5.27755,5.43839,0.16084,0.9417,0.0608,1,0,0.07258,0.75974
6513631/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,28052,5.3126,5.23244,0.26509,4.68009,5.50877,0.82868,5.0663,0.0014,1,0,0.08308,0.59103
6513631/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,141653,5.34275,5.28119,0.23314,4.8039,5.53408,0.73018,4.4146,0.02875,1,0,0.12064,0.6201
6513631/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,34581,5.34092,5.29909,0.18118,4.94079,5.51011,0.56933,3.419,0.02692,1,0,0.11594,0.63204
6513631/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,155451,5.36732,5.33166,0.16595,5.00596,5.52899,0.52303,3.1126,0.05332,1,0,0.15214,0.65477
6513631/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,32655,5.40508,5.3315,0.25547,4.78938,5.60342,0.81404,4.7916,0.09108,1,0,0.30651,0.54438
6513631/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,152410,5.43967,5.38189,0.21496,4.94371,5.61427,0.67055,3.9942,0.12567,1,0,0.33267,0.5781
6513631/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,87638,5.36847,5.3516,0.08126,5.19156,5.45554,0.26398,1.5184,0.05447,1,0,0.09184,0.72197
6513631/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,171387,5.36557,5.34862,0.08254,5.18763,5.45593,0.2683,1.5432,0.05157,1,0,0.09412,0.70698
6513631/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,54580,5.29595,5.27647,0.10662,5.07202,5.40878,0.33676,2.0208,0.01805,1,0,-0.09697,0.75429
6513631/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,160160,5.30224,5.28585,0.10102,5.09667,5.41397,0.3173,1.9112,0.01176,1,0,-0.08496,0.762
