file,median_n,median_mc,median_q,median_chi,n_samples
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,5.340244213378185,27.745864385461555,0.846299702137696,-0.0557199528831181,147634
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,5.340507903722141,27.724910177865926,0.8454487451593233,-0.054736291713762875,199766
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,5.283783641659316,15.612204405592635,0.5379654923737036,0.11098857196223635,68167
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,5.295294220831167,15.512711694653676,0.5513284613784079,0.1178067400767817,137933
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,5.334041402713467,8.854977953981969,0.5276051724507272,0.20154184018399338,133885
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,5.331791039699102,8.83799173054734,0.5235283308799126,0.20308557242935718,188541
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,5.309603973959711,21.15538384512289,0.7084961879833191,-0.0421480625311441,80854
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,5.310717908773001,21.03307117643403,0.7075768818306573,-0.039112646384383706,169007
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,5.351193795029674,7.935246479784366,0.7135809063171334,0.04339240253975085,219080
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,5.350897828857895,7.927481499091608,0.7122143948134662,0.043600313030335056,285112
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,5.393529799658191,34.14778721104557,0.5513881538559955,0.25719696194095754,37428
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,5.440215669963777,34.02860546476589,0.5844678006873795,0.30641638393829757,173308
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,5.361438490431118,24.72936383259749,0.7063551925956297,0.07947449001410693,89622
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,5.363484826580075,24.681586489570847,0.7072137689194805,0.08327234184498099,177783
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,5.37873299304039,23.916465075912996,0.8062978549488421,0.06055473922465855,139163
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,5.379339700322781,23.87531114429321,0.8079520726847562,0.061347174284648004,197034
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,5.334160435525882,26.802278100933094,0.7967740009614598,-0.0423398820706402,84033
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,5.337625302310389,26.71601631419374,0.7983673777962509,-0.034653531838175544,160046
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,5.364004590638489,28.48325644953617,0.7642574998325327,0.05306471055381784,42612
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,5.369764422090819,28.2222280414777,0.7666659617623964,0.06506887121398568,136399
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,5.214154674891343,32.650046914359976,0.2025263678331063,0.6786065314293004,11138
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,5.400175324073926,33.14634904495509,0.276314308359282,0.6959275257088784,178895
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,5.3216309662788355,18.46728582493316,0.7382981343075598,-0.03010686461903213,53971
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,5.321457738930858,18.329044649416662,0.7349684286281956,-0.029117776698062297,127008
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,5.02224589286543,13.34472747127457,0.28212265479168075,0.246978437620636,182052
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,5.020759272350873,13.325660424301187,0.2812275917413292,0.24788810929137786,264789
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,5.313053223671658,24.54298183432644,0.7296079299387638,-0.03530221606396065,27757
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,5.329430080147436,24.152806183477136,0.7372513835144401,-0.0035479575248177977,144722
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,5.273817390615685,33.29919905734803,0.5987412430104055,-0.008490164501413568,23815
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,5.311073663052702,32.70275278545298,0.6543112076997517,0.021073314829925676,155335
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,5.305319975761458,31.39222423620668,0.7826591539836005,-0.0959479561910515,30882
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,5.31039405046438,30.575776794271494,0.7822758914151199,-0.08394771863834047,147856
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,5.418241124868372,75.99437466549841,0.7615652593916686,0.2260780450748938,16736
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,5.449306034310997,71.66480241791051,0.7382990402332995,0.29754143802954164,155608
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,5.289288081920761,29.201407633684134,0.6704259529750021,-0.057479978554220296,63867
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,5.298390175841773,29.140751728127814,0.6811666459298411,-0.04251071694946061,166116
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,5.235710174520509,14.53129835328867,0.5124824981098712,0.027948270660941237,74777
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,5.2379962795848565,14.411271592180723,0.5142955335266176,0.02944101384601039,181271
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,5.265112828103543,21.47431607480617,0.4755278677691321,0.13455098063191917,48052
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,5.282140996679424,21.39936018490772,0.48519462807471014,0.15022116580471828,180002
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,5.282646024436161,29.08321316986422,0.7175400381213262,-0.09108329365045909,15629
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,5.299924163070739,27.745153254676513,0.7386151074374357,-0.06761960421564514,123633
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,5.5223139994137425,26.26944024228841,0.5656492018955344,0.4416865767894388,61249
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,5.552567132790203,25.718452497143677,0.5938847475179512,0.4732333447100953,161299
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,5.438598733522607,43.2106931035928,0.6284344867059827,0.31529414433187875,42168
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,5.453265950515937,41.824333915117826,0.6287303919507382,0.33664829093129056,150207
