event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff
IGWN-GWTC4p0-0f954158d_720-GW231028_153006-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.58597,0.12946,1,0.49569
IGWN-GWTC4p0-0f954158d_720-GW231029_111508-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35636,0.16123,1,0.14528
IGWN-GWTC4p0-0f954158d_720-GW231102_071736-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36361,0.09338,1,0.07405
IGWN-GWTC4p0-0f954158d_720-GW231104_133418-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.3873,0.07213,1,0.14553
IGWN-GWTC4p0-0f954158d_720-GW231108_125142-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.31141,0.04841,1,-0.07625
IGWN-GWTC4p0-0f954158d_720-GW231110_040320-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.37099,0.08562,1,0.17464
IGWN-GWTC4p0-0f954158d_720-GW231113_122623-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.49228,0.16196,1,0.36482
IGWN-GWTC4p0-0f954158d_720-GW231113_200417-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36428,0.08846,1,0.12531
IGWN-GWTC4p0-0f954158d_720-GW231114_043211-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.07038,0.15025,1,0.09097
IGWN-GWTC4p0-0f954158d_720-GW231118_005626-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.41535,0.11216,1,0.39286
IGWN-GWTC4p0-0f954158d_720-GW231118_071402-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38122,0.1401,1,0.12777
IGWN-GWTC4p0-0f954158d_720-GW231118_090602-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25852,0.26587,1,0.11951
IGWN-GWTC4p0-0f954158d_720-GW231119_075248-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32686,0.15115,1,-0.00049
IGWN-GWTC4p0-0f954158d_720-GW231123_135430-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.2957,0.07631,1,0.03907
IGWN-GWTC4p0-0f954158d_720-GW231127_165300-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.306,0.19005,1,0.04064
IGWN-GWTC4p0-0f954158d_720-GW231129_081745-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.26245,0.16046,1,0.0274
IGWN-GWTC4p0-0f954158d_720-GW231206_233134-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.31785,0.07233,1,-0.09006
IGWN-GWTC4p0-0f954158d_720-GW231206_233901-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33583,0.0652,1,-0.02925
IGWN-GWTC4p0-0f954158d_720-GW231213_111417-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38029,0.09033,1,0.0767
IGWN-GWTC4p0-0f954158d_720-GW231221_135041-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.29813,0.20095,1,0.03933
IGWN-GWTC4p0-0f954158d_720-GW231223_032836-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.23927,0.16868,1,-0.16159
IGWN-GWTC4p0-0f954158d_720-GW231223_075055-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.2897,0.13807,1,0.07208
IGWN-GWTC4p0-0f954158d_720-GW231223_202619-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.37843,0.06877,1,0.10497
IGWN-GWTC4p0-0f954158d_720-GW231224_024321-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34842,0.03787,1,-0.00516
IGWN-GWTC4p0-0f954158d_720-GW231226_101520-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33863,0.02668,1,-0.0738
IGWN-GWTC4p0-0f954158d_720-GW231230_170116-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.22859,0.18299,1,-0.21668
IGWN-GWTC4p0-0f954158d_720-GW231231_154016-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33311,0.04632,1,-0.02865
IGWN-GWTC4p0-0f954158d_720-GW240104_164932-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.39889,0.08088,1,0.12554
IGWN-GWTC4p0-0f954158d_720-GW240107_013215-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36989,0.28232,1,0.33875
IGWN-GWTC4p0-0f954158d_720-GW240109_050431-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25834,0.0862,1,-0.07599
