event_file,IMRPhenom_CV,IMRPhenom_Mean,SEOBNR_CV,SEOBNR_Mean,Delta_Mean
IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,1.6949231727408716,5.375750040459935,1.5917469835257627,5.426006773305426,0.05025673284549104
IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,1.7611160326830255,5.307907891623594,1.6130442324692227,5.331896337585989,0.023988445962395133
IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_cosmo.h5,3.1546389398469086,5.189222773079444,2.6929998456830146,5.266007459657759,0.07678468657831505
IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_cosmo.h5,10.615117093760972,5.0225183113750855,7.677493219964693,5.179092330695134,0.15657401932004866
IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,2.6883316308998855,5.287247120753922,1.2080316481876443,5.349520392114397,0.06227327136047478
IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,3.5644432815046847,4.213026011454052,2.785751462768684,4.254494959640448,0.041468948186396126
IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,19.790630049656436,4.461179985317605,13.377262484594738,4.676972266189636,0.21579228087203095
IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,4.9377142876115405,5.3541081740836045,4.942969902187818,5.352966434759763,0.0011417393238417617
IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,1.9595853028501087,5.2862176881779,1.7171772712304936,5.309253210835167,0.023035522657266938
IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,1.227284678263791,5.352711189630023,0.8999386263292417,5.391394928470392,0.03868373884036913
IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,4.212591349042323,5.295076777445856,4.122473041142208,5.321788521795317,0.026711744349460886
IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,3.371496723511971,5.233584234000937,1.9805891248601228,5.3231390859425085,0.0895548519415712
IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,1.9745068043874061,5.348508292648342,0.5776638711349423,5.4155668063070905,0.06705851365874871
IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_cosmo.h5,1.417858918107509,5.385040296791785,1.0605824416673384,5.3936513501171675,0.008611053325382478
IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,10.694336542568902,4.973248472475174,6.933568425352182,5.192849083251901,0.21960061077672677
IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,1.7639543940910003,5.2626900540529,1.8295343608922816,5.2682201752917095,0.005530121238809471
IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_cosmo.h5,2.6677868513509684,5.31196282602454,2.1552618089332265,5.338022853329962,0.026060027305422118
IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,6.7838817130736295,4.740250936783554,6.988684522628772,4.821520083251388,0.08126914646783323
IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,1.1829481141488853,5.367411036681304,0.9378698105772236,5.385734854903315,0.01832381822201068
IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_cosmo.h5,4.444846466481208,5.284256769426032,3.1625175205963676,5.344897237181151,0.06064046775511844
IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,2.4329531884759503,5.351094365803606,1.8306165482341004,5.375495066190517,0.02440070038691111
IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_cosmo.h5,1.1772928227471307,5.367892026858263,0.9308548459896031,5.386325665792068,0.01843363893380534
IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_cosmo.h5,2.370138251050058,5.353100299976163,1.7977707604266848,5.376325065358963,0.023224765382799717
IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_cosmo.h5,3.3544010537884796,5.232901356109002,1.955010177404186,5.322866742764038,0.08996538665503628
IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,2.7264663687637047,5.313102927500618,2.2164167016113066,5.339587319557064,0.026484392056445927
IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_cosmo.h5,5.374243281515736,5.212737351140315,5.2455047721986645,5.244245809633063,0.031508458492748304
IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,7.855883294003366,4.995483678482968,6.627719688294807,5.212783894565219,0.21730021608225147
IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_cosmo.h5,2.0227007974002222,5.27747539149644,2.045128859585731,5.2970506086367894,0.01957521714034982
IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,1.7624092457302263,5.291088947143215,1.777632236216506,5.29794619588361,0.006857248740395505
