event_file,IMRPhenom_CV,IMRPhenom_Mean,SEOBNR_CV,SEOBNR_Mean,Delta_Mean
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,6.634773855165739,5.181849823277994,5.0249055528542135,5.340620696976117,0.15877087369812326
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,3.5822877887115774,5.373881221936109,2.9810786593623497,5.408946106200906,0.0350648842647967
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,2.401908097532642,5.291738543428302,1.6223311651219658,5.287596747733541,0.004141795694761363
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,1.1133598372285707,5.419573071062098,1.180282142321785,5.449604838200698,0.030031767138599896
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,3.5739848219104053,5.498946557878448,2.046359313889505,5.611139965289194,0.11219340741074557
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,1.8941764516360555,5.375972527556984,1.8013933812099,5.393644882901138,0.017672355344154234
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,2.338273712502032,5.4217909595916876,2.1453478010837435,5.451746494524716,0.029955534933028716
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,4.156361261456368,5.354600263400007,3.918438228506142,5.368797486274523,0.014197222874515525
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,2.0569138515516494,5.365626501719419,1.8385943330757715,5.381668827325691,0.01604232560627228
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,4.178338340054036,5.261857644824674,1.861726794661326,5.347610929349523,0.08575328452484943
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,0.9202484257018645,5.371098064418631,1.1018284140597845,5.3916945531675,0.020596488748868325
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,2.508786757568643,5.267487401692667,2.0079058669087098,5.301674893315429,0.034187491622762245
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,4.791621463698344,5.331502049891058,2.72636870075691,5.452249968974677,0.1207479190836187
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,1.9112317302313786,5.285852551801899,1.9002872849207426,5.300538998669658,0.014686446867758995
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,1.2584773787406416,5.3200923394374415,1.044593357577223,5.262606878800932,0.05748546063650917
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,0.8617400116700723,5.333102264961796,0.6028112388090939,5.358747478920996,0.025645213959200497
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,1.1668839767090635,5.295296969145945,0.9299359309206128,5.276613604458341,0.0186833646876039
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,1.4104226568364095,5.307539274463715,1.2038100629044834,5.319254026325202,0.011714751861487294
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,2.757179669493461,5.25604329838061,2.9069698893495266,5.266478641926222,0.010435343545611708
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,1.6099339757504525,5.294593063056069,1.369626048580129,5.306310277326115,0.011717214270046128
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,1.1339095776336432,5.295964428096208,0.9071930058579911,5.2773162546556724,0.018648173440535487
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,4.979297294779825,5.275337400021865,4.6692751261874434,5.2889183971389855,0.013580997117120575
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,1.238682600789095,5.330116965973929,1.1431039535133052,5.321574580392058,0.008542385581870704
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,2.4164800541714095,5.27931574309065,2.5821855049014455,5.288144266911001,0.00882852382035093
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,1.6182901921192479,5.348345928102774,1.4409680198291428,5.34954606784434,0.0012001397415657422
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,1.2884184086144905,5.336676032128477,1.2004803808251356,5.35006562702884,0.013389594900362844
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,4.069768768197835,5.325955034910595,3.2807209454787016,5.374897663084482,0.04894262817388739
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,3.1208239729782226,5.253025671146403,2.687252639399298,5.330907140164154,0.0778814690177505
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,1.702847367120162,5.345764129515837,1.2335358316638951,5.364879427171613,0.019115297655775798
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,2.287270202587343,5.437399213886862,2.0947119675004195,5.465732244900829,0.028333031013967336
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,2.0842657462692924,5.223816709103621,1.541034465313979,5.262634990907103,0.0388182818034819
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,1.2475965287021724,5.3208063344819765,1.04995932602015,5.262645731495199,0.05816060298677783
